DATE,MYAGM2USM052S
1/1/59,2.87E+11
2/1/59,2.88E+11
3/1/59,2.89E+11
4/1/59,2.90E+11
5/1/59,2.92E+11
6/1/59,2.94E+11
7/1/59,2.95E+11
8/1/59,2.96E+11
9/1/59,2.97E+11
10/1/59,2.97E+11
11/1/59,2.97E+11
12/1/59,2.98E+11
1/1/60,2.98E+11
2/1/60,2.99E+11
3/1/60,2.99E+11
4/1/60,3.00E+11
5/1/60,3.01E+11
6/1/60,3.02E+11
7/1/60,3.04E+11
8/1/60,3.07E+11
9/1/60,3.08E+11
10/1/60,3.10E+11
11/1/60,3.11E+11
12/1/60,3.12E+11
1/1/61,3.14E+11
2/1/61,3.17E+11
3/1/61,3.18E+11
4/1/61,3.20E+11
5/1/61,3.22E+11
6/1/61,3.24E+11
7/1/61,3.26E+11
8/1/61,3.28E+11
9/1/61,3.30E+11
10/1/61,3.31E+11
11/1/61,3.33E+11
12/1/61,3.36E+11
1/1/62,3.38E+11
2/1/62,3.40E+11
3/1/62,3.43E+11
4/1/62,3.46E+11
5/1/62,3.48E+11
6/1/62,3.49E+11
7/1/62,3.51E+11
8/1/62,3.53E+11
9/1/62,3.55E+11
10/1/62,3.57E+11
11/1/62,3.60E+11
12/1/62,3.63E+11
1/1/63,3.65E+11
2/1/63,3.68E+11
3/1/63,3.71E+11
4/1/63,3.73E+11
5/1/63,3.76E+11
6/1/63,3.78E+11
7/1/63,3.81E+11
8/1/63,3.84E+11
9/1/63,3.86E+11
10/1/63,3.88E+11
11/1/63,3.92E+11
12/1/63,3.93E+11
1/1/64,3.95E+11
2/1/64,3.98E+11
3/1/64,4.00E+11
4/1/64,4.02E+11
5/1/64,4.04E+11
6/1/64,4.07E+11
7/1/64,4.10E+11
8/1/64,4.13E+11
9/1/64,4.17E+11
10/1/64,4.19E+11
11/1/64,4.22E+11
12/1/64,4.25E+11
1/1/65,4.28E+11
2/1/65,4.30E+11
3/1/65,4.33E+11
4/1/65,4.35E+11
5/1/65,4.37E+11
6/1/65,4.40E+11
7/1/65,4.43E+11
8/1/65,4.46E+11
9/1/65,4.50E+11
10/1/65,4.53E+11
11/1/65,4.56E+11
12/1/65,4.59E+11
1/1/66,4.62E+11
2/1/66,4.65E+11
3/1/66,4.67E+11
4/1/66,4.69E+11
5/1/66,4.70E+11
6/1/66,4.71E+11
7/1/66,4.71E+11
8/1/66,4.73E+11
9/1/66,4.75E+11
10/1/66,4.76E+11
11/1/66,4.77E+11
12/1/66,4.80E+11
1/1/67,4.82E+11
2/1/67,4.85E+11
3/1/67,4.90E+11
4/1/67,4.92E+11
5/1/67,4.97E+11
6/1/67,5.02E+11
7/1/67,5.06E+11
8/1/67,5.11E+11
9/1/67,5.15E+11
10/1/67,5.18E+11
11/1/67,5.21E+11
12/1/67,5.25E+11
1/1/68,5.27E+11
2/1/68,5.30E+11
3/1/68,5.33E+11
4/1/68,5.36E+11
5/1/68,5.39E+11
6/1/68,5.43E+11
7/1/68,5.46E+11
8/1/68,5.49E+11
9/1/68,5.54E+11
10/1/68,5.58E+11
11/1/68,5.62E+11
12/1/68,5.67E+11
1/1/69,5.69E+11
2/1/69,5.72E+11
3/1/69,5.74E+11
4/1/69,5.76E+11
5/1/69,5.77E+11
6/1/69,5.79E+11
7/1/69,5.80E+11
8/1/69,5.80E+11
9/1/69,5.82E+11
10/1/69,5.83E+11
11/1/69,5.85E+11
12/1/69,5.88E+11
1/1/70,5.90E+11
2/1/70,5.86E+11
3/1/70,5.87E+11
4/1/70,5.88E+11
5/1/70,5.92E+11
6/1/70,5.95E+11
7/1/70,5.99E+11
8/1/70,6.05E+11
9/1/70,6.11E+11
10/1/70,6.16E+11
11/1/70,6.21E+11
12/1/70,6.27E+11
1/1/71,6.33E+11
2/1/71,6.41E+11
3/1/71,6.50E+11
4/1/71,6.58E+11
5/1/71,6.67E+11
6/1/71,6.73E+11
7/1/71,6.80E+11
8/1/71,6.86E+11
9/1/71,6.93E+11
10/1/71,6.98E+11
11/1/71,7.05E+11
12/1/71,7.10E+11
1/1/72,7.18E+11
2/1/72,7.26E+11
3/1/72,7.34E+11
4/1/72,7.38E+11
5/1/72,7.43E+11
6/1/72,7.50E+11
7/1/72,7.60E+11
8/1/72,7.69E+11
9/1/72,7.78E+11
10/1/72,7.87E+11
11/1/72,7.94E+11
12/1/72,8.02E+11
1/1/73,8.10E+11
2/1/73,8.14E+11
3/1/73,8.15E+11
4/1/73,8.20E+11
5/1/73,8.27E+11
6/1/73,8.33E+11
7/1/73,8.37E+11
8/1/73,8.39E+11
9/1/73,8.39E+11
10/1/73,8.43E+11
11/1/73,8.49E+11
12/1/73,8.56E+11
1/1/74,8.60E+11
2/1/74,8.64E+11
3/1/74,8.70E+11
4/1/74,8.73E+11
5/1/74,8.75E+11
6/1/74,8.78E+11
7/1/74,8.81E+11
8/1/74,8.84E+11
9/1/74,8.88E+11
10/1/74,8.93E+11
11/1/74,8.99E+11
12/1/74,9.02E+11
1/1/75,9.06E+11
2/1/75,9.14E+11
3/1/75,9.25E+11
4/1/75,9.35E+11
5/1/75,9.48E+11
6/1/75,9.63E+11
7/1/75,9.75E+11
8/1/75,9.83E+11
9/1/75,9.92E+11
10/1/75,9.98E+11
11/1/75,1.01E+12
12/1/75,1.02E+12
1/1/76,1.03E+12
2/1/76,1.04E+12
3/1/76,1.05E+12
4/1/76,1.06E+12
5/1/76,1.07E+12
6/1/76,1.08E+12
7/1/76,1.09E+12
8/1/76,1.10E+12
9/1/76,1.11E+12
10/1/76,1.13E+12
11/1/76,1.14E+12
12/1/76,1.15E+12
1/1/77,1.17E+12
2/1/77,1.18E+12
3/1/77,1.19E+12
4/1/77,1.20E+12
5/1/77,1.21E+12
6/1/77,1.22E+12
7/1/77,1.23E+12
8/1/77,1.24E+12
9/1/77,1.25E+12
10/1/77,1.25E+12
11/1/77,1.26E+12
12/1/77,1.27E+12
1/1/78,1.28E+12
2/1/78,1.29E+12
3/1/78,1.29E+12
4/1/78,1.30E+12
5/1/78,1.31E+12
6/1/78,1.32E+12
7/1/78,1.32E+12
8/1/78,1.33E+12
9/1/78,1.35E+12
10/1/78,1.35E+12
11/1/78,1.36E+12
12/1/78,1.37E+12
1/1/79,1.37E+12
2/1/79,1.38E+12
3/1/79,1.39E+12
4/1/79,1.40E+12
5/1/79,1.41E+12
6/1/79,1.42E+12
7/1/79,1.43E+12
8/1/79,1.45E+12
9/1/79,1.45E+12
10/1/79,1.46E+12
11/1/79,1.47E+12
12/1/79,1.47E+12
1/1/80,1.48E+12
2/1/80,1.49E+12
3/1/80,1.50E+12
4/1/80,1.50E+12
5/1/80,1.51E+12
6/1/80,1.53E+12
7/1/80,1.55E+12
8/1/80,1.56E+12
9/1/80,1.57E+12
10/1/80,1.58E+12
11/1/80,1.60E+12
12/1/80,1.60E+12
1/1/81,1.61E+12
2/1/81,1.62E+12
3/1/81,1.64E+12
4/1/81,1.66E+12
5/1/81,1.66E+12
6/1/81,1.67E+12
7/1/81,1.68E+12
8/1/81,1.69E+12
9/1/81,1.71E+12
10/1/81,1.72E+12
11/1/81,1.74E+12
12/1/81,1.76E+12
1/1/82,1.77E+12
2/1/82,1.77E+12
3/1/82,1.79E+12
4/1/82,1.80E+12
5/1/82,1.82E+12
6/1/82,1.83E+12
7/1/82,1.83E+12
8/1/82,1.85E+12
9/1/82,1.86E+12
10/1/82,1.87E+12
11/1/82,1.89E+12
12/1/82,1.91E+12
1/1/83,1.96E+12
2/1/83,2.00E+12
3/1/83,2.02E+12
4/1/83,2.03E+12
5/1/83,2.05E+12
6/1/83,2.06E+12
7/1/83,2.07E+12
8/1/83,2.08E+12
9/1/83,2.09E+12
10/1/83,2.10E+12
11/1/83,2.11E+12
12/1/83,2.13E+12
1/1/84,2.14E+12
2/1/84,2.16E+12
3/1/84,2.18E+12
