DATE,M2REAL
1/1/59,987.9
2/1/59,992.1
3/1/59,998.3
4/1/59,1001
5/1/59,1006.2
6/1/59,1010.3
7/1/59,1012.7
8/1/59,1015.8
9/1/59,1014.4
10/1/59,1010.2
11/1/59,1012.3
12/1/59,1012.6
1/1/60,1015.3
2/1/60,1014.6
3/1/60,1017.7
4/1/60,1015.9
5/1/60,1017.6
6/1/60,1020.9
7/1/60,1029.1
8/1/60,1036.5
9/1/60,1041.5
10/1/60,1040.3
11/1/60,1044
12/1/60,1048
1/1/61,1052.6
2/1/61,1060.7
3/1/61,1066.7
4/1/61,1073.1
5/1/61,1079.8
6/1/61,1086.8
7/1/61,1088.2
8/1/61,1094.2
9/1/61,1099.1
10/1/61,1104.4
11/1/61,1112.1
12/1/61,1118
1/1/62,1123.5
2/1/62,1129.5
3/1/62,1137.2
4/1/62,1143.7
5/1/62,1149.1
6/1/62,1156.2
7/1/62,1160.8
8/1/62,1165.1
9/1/62,1166.7
10/1/62,1175.8
11/1/62,1184.3
12/1/62,1193.9
1/1/63,1199.7
2/1/63,1207
3/1/63,1215
4/1/63,1224.7
5/1/63,1232.7
6/1/63,1236.2
7/1/63,1241.8
8/1/63,1247.5
9/1/63,1256.5
10/1/63,1262.8
11/1/63,1271.9
12/1/63,1273.3
1/1/64,1277.3
2/1/64,1286.3
3/1/64,1292.2
4/1/64,1297.9
5/1/64,1304.7
6/1/64,1312.8
7/1/64,1322.1
8/1/64,1331.4
9/1/64,1341.4
10/1/64,1346.7
11/1/64,1352.1
12/1/64,1359
1/1/65,1366.7
2/1/65,1376
3/1/65,1383.6
4/1/65,1387.5
5/1/65,1388.5
6/1/65,1392.3
7/1/65,1402.5
8/1/65,1413
9/1/65,1421.6
10/1/65,1430
11/1/65,1435.3
12/1/65,1441.8
1/1/66,1449.2
2/1/66,1448.3
3/1/66,1451.8
4/1/66,1453.8
5/1/66,1453.2
6/1/66,1455.2
7/1/66,1451.2
8/1/66,1447.5
9/1/66,1451.6
10/1/66,1448.1
11/1/66,1451.6
12/1/66,1458.7
1/1/67,1463.8
2/1/67,1470
3/1/67,1483.9
4/1/67,1486.7
5/1/67,1502.1
6/1/67,1507.5
7/1/67,1515.9
8/1/67,1524.8
9/1/67,1531.8
10/1/67,1537.7
11/1/67,1537.5
12/1/67,1543.5
1/1/68,1546.6
2/1/68,1550.9
3/1/68,1554.5
4/1/68,1557.3
5/1/68,1562
6/1/68,1563.7
7/1/68,1563.3
8/1/68,1569.7
9/1/68,1577.2
10/1/68,1579.6
11/1/68,1588.7
12/1/68,1592.1
1/1/69,1594.7
2/1/69,1597.5
3/1/69,1591.1
4/1/69,1586
5/1/69,1583.8
6/1/69,1580.6
7/1/69,1574.7
8/1/69,1572.1
9/1/69,1569
10/1/69,1564.1
11/1/69,1561.1
12/1/69,1559.4
1/1/70,1555.7
2/1/70,1538.8
3/1/70,1533.4
4/1/70,1528.3
5/1/70,1532.4
6/1/70,1534
7/1/70,1540.1
8/1/70,1551
9/1/70,1559.2
10/1/70,1564.5
11/1/70,1568.4
12/1/70,1574.1
1/1/71,1586.2
2/1/71,1606.5
3/1/71,1624.7
4/1/71,1641.9
5/1/71,1654.3
6/1/71,1661.7
7/1/71,1673.9
8/1/71,1684.3
9/1/71,1697.3
10/1/71,1707.6
11/1/71,1718.5
12/1/71,1728.2
1/1/72,1742
2/1/72,1752.9
3/1/72,1771.7
4/1/72,1779.3
5/1/72,1786.8
6/1/72,1797.8
7/1/72,1817
8/1/72,1834.6
9/1/72,1848.7
10/1/72,1864.7
11/1/72,1872.4
12/1/72,1887.8
1/1/73,1897.7
2/1/73,1893.3
3/1/73,1878.6
4/1/73,1875.7
5/1/73,1883.4
6/1/73,1885.3
7/1/73,1892.5
8/1/73,1864
9/1/73,1856.9
10/1/73,1847.8
11/1/73,1849.5
12/1/73,1847.7
1/1/74,1837
2/1/74,1827.1
3/1/74,1820.3
4/1/74,1814.8
5/1/74,1799.6
6/1/74,1791.4
7/1/74,1787.8
8/1/74,1771.7
9/1/74,1754.7
10/1/74,1751.6
11/1/74,1744.9
12/1/74,1738.2
1/1/75,1732.9
2/1/75,1737.8
3/1/75,1751.9
4/1/75,1764.3
5/1/75,1785.1
6/1/75,1800
7/1/75,1805.7
8/1/75,1813.8
9/1/75,1815.9
10/1/75,1817.5
11/1/75,1820.8
12/1/75,1827.7
1/1/76,1839.8
2/1/76,1861
3/1/76,1875
4/1/76,1890.9
5/1/76,1900.9
6/1/76,1900.5
7/1/76,1905.8
8/1/76,1917.5
9/1/76,1928.5
10/1/76,1943
11/1/76,1959
12/1/76,1972.6
1/1/77,1985
2/1/77,1985.8
3/1/77,1994.1
4/1/77,1999.3
5/1/77,2008.3
6/1/77,2012.9
7/1/77,2017.6
8/1/77,2024.5
9/1/77,2033
10/1/77,2035.7
11/1/77,2036.1
12/1/77,2039
1/1/78,2041
2/1/78,2040.5
3/1/78,2038.2
4/1/78,2035.1
5/1/78,2031.8
6/1/78,2028.5
7/1/78,2021.5
8/1/78,2023.5
9/1/78,2022.6
10/1/78,2015.4
11/1/78,2013.5
12/1/78,2011.8
1/1/79,2002.3
2/1/79,1991
3/1/79,1985.4
4/1/79,1986
5/1/79,1975.1
6/1/79,1970.9
