DATE,FDHBFRBN
1/1/70,55.8
4/1/70,57.7
7/1/70,60
10/1/70,62.1
1/1/71,64.2
4/1/71,65.5
7/1/71,67.6
10/1/71,70.2
1/1/72,69.9
4/1/72,71.4
7/1/72,69.7
10/1/72,69.9
1/1/73,74.3
4/1/73,75
7/1/73,76.2
10/1/73,78.5
1/1/74,79.5
4/1/74,80.5
7/1/74,81
10/1/74,80.5
1/1/75,81.4
4/1/75,84.7
7/1/75,87
10/1/75,87.9
1/1/76,89.8
4/1/76,94.4
7/1/76,96.4
10/1/76,97
1/1/77,96
4/1/77,102.2
7/1/77,104.7
10/1/77,102.8
1/1/78,101.6
4/1/78,110.1
7/1/78,115.3
10/1/78,109.6
1/1/79,110.9
4/1/79,109.7
7/1/79,115.5
10/1/79,117.5
1/1/80,116.7
4/1/80,124.5
7/1/80,120.7
10/1/80,121.3
1/1/81,119
4/1/81,120
7/1/81,124.3
10/1/81,131
1/1/82,126.6
4/1/82,127
7/1/82,134.4
10/1/82,139.3
1/1/83,136.7
4/1/83,141.7
7/1/83,155.4
10/1/83,151.9
1/1/84,150.8
4/1/84,152.9
7/1/84,155
10/1/84,160.9
1/1/85,161
4/1/85,169.1
7/1/85,169.7
10/1/85,181.3
1/1/86,184.8
4/1/86,183.9
7/1/86,190.8
10/1/86,211.3
1/1/87,196.4
4/1/87,212.3
7/1/87,211.9
10/1/87,222.6
1/1/88,217.5
4/1/88,227.6
7/1/88,229.2
10/1/88,238.4
1/1/89,228.6
4/1/89,231.8
7/1/89,221.1
10/1/89,226.8
1/1/90,217.9
4/1/90,231.4
7/1/90,234.4
10/1/90,235.1
1/1/91,241
4/1/91,247.5
7/1/91,258.6
10/1/91,266.5
1/1/92,265.8
4/1/92,276.9
7/1/92,279.7
10/1/92,295
1/1/93,298.5
4/1/93,313.1
7/1/93,319.4
10/1/93,332
1/1/94,337.3
4/1/94,347.6
7/1/94,353
10/1/94,364.5
1/1/95,363.7
4/1/95,372.6
7/1/95,367.7
10/1/95,378.2
1/1/96,377.1
4/1/96,383.9
7/1/96,383.9
10/1/96,390.9
1/1/97,395.1
4/1/97,410.9
7/1/97,411.8
10/1/97,430.7
1/1/98,433.2
4/1/98,439.8
7/1/98,446
10/1/98,452.1
1/1/99,465.7
4/1/99,484.9
7/1/99,489
10/1/99,478
1/1/00,501.7
4/1/00,504.9
7/1/00,511.4
10/1/00,511.7
1/1/01,523.9
4/1/01,535.1
7/1/01,534.1
10/1/01,551.7
1/1/02,575.4
4/1/02,590.7
7/1/02,604.2
10/1/02,629.4
1/1/03,641.5
4/1/03,652.1
7/1/03,656.1
10/1/03,666.7
1/1/04,674.1
4/1/04,687.4
7/1/04,700.3
10/1/04,717.8
1/1/05,717.3
4/1/05,724.7
7/1/05,736.4
10/1/05,744.2
1/1/06,758.5
4/1/06,766.4
7/1/06,768.9
10/1/06,778.9
1/1/07,780.9
4/1/07,790.5
7/1/07,779.6
10/1/07,740.6
1/1/08,591.2
4/1/08,478.8
7/1/08,476.6
10/1/08,475.9
1/1/09,492.3
4/1/09,656.5
7/1/09,769.2
10/1/09,776.6
1/1/10,776.7
4/1/10,777
7/1/10,811.7
10/1/10,1021.5
1/1/11,1340.4
4/1/11,1619.5
7/1/11,1664.7
10/1/11,1663.4
1/1/12,1661.1
4/1/12,1659.9
7/1/12,1645.3
10/1/12,1666.1
1/1/13,1796
4/1/13,1936.6
7/1/13,2072.3
10/1/13,2208.8
1/1/14,2614.6
4/1/14,2705.9
7/1/14,2767.3
10/1/14,2793.4
1/1/15,2797.5
4/1/15,2798.5
7/1/15,2802.1
10/1/15,2810.1
1/1/16,2815.3
4/1/16,2819.1
7/1/16,2830.1
10/1/16,2843.7
1/1/17,2859.131
4/1/17,2864.091
7/1/17,2867.555
10/1/17,2858.136
1/1/18,2828.463
4/1/18,2772.949
7/1/18,2697.86
10/1/18,2594.652
1/1/19,2536.673
4/1/19,2452.784
7/1/19,2436.438
10/1/19,2637.32
1/1/20,3559.553
4/1/20,4615.353
7/1/20,4872.973
10/1/20,5127.835
1/1/21,5401.362
4/1/21,5644.351
7/1/21,5911.599
10/1/21,6141.499
1/1/22,6254.966
4/1/22,6216.801
7/1/22,6097.085
10/1/22,5944.675
1/1/23,5713.249
