DATE,CPALTT01USM657N,,https://fred.stlouisfed.org/series/CPALTT01USM657N
1/1/60,-0.340136054,,
2/1/60,0.341296928,,
3/1/60,0,,
4/1/60,0.340136054,,
5/1/60,0,,
6/1/60,0.338983051,,
7/1/60,0,,
8/1/60,0,,
9/1/60,0,,
10/1/60,0.675675676,,
11/1/60,0,,
12/1/60,0,,
1/1/61,0,,
2/1/61,0,,
3/1/61,0,,
4/1/61,0,,
5/1/61,0,,
6/1/61,0,,
7/1/61,0.67114094,,
8/1/61,-0.333333333,,
9/1/61,0.334448161,,
10/1/61,0,,
11/1/61,0,,
12/1/61,0,,
1/1/62,0,,
2/1/62,0.333333333,,
3/1/62,0,,
4/1/62,0.332225914,,
5/1/62,0,,
6/1/62,0,,
7/1/62,0.331125828,,
8/1/62,0,,
9/1/62,0.330033003,,
10/1/62,0,,
11/1/62,0,,
12/1/62,0,,
1/1/63,0,,
2/1/63,0,,
3/1/63,0.328947368,,
4/1/63,0,,
5/1/63,0,,
6/1/63,0.327868852,,
7/1/63,0.326797386,,
8/1/63,0,,
9/1/63,0,,
10/1/63,0.325732899,,
11/1/63,0,,
12/1/63,0.324675325,,
1/1/64,0,,
2/1/64,0,,
3/1/64,0,,
4/1/64,0,,
5/1/64,0,,
6/1/64,0.323624595,,
7/1/64,0.322580645,,
8/1/64,-0.321543408,,
9/1/64,0.322580645,,
10/1/64,0,,
11/1/64,0.321543408,,
12/1/64,0,,
1/1/65,0,,
2/1/65,0,,
3/1/65,0.320512821,,
4/1/65,0.319488818,,
5/1/65,0,,
6/1/65,0.636942675,,
7/1/65,0,,
8/1/65,0,,
9/1/65,0,,
10/1/65,0.316455696,,
11/1/65,0,,
12/1/65,0.315457413,,
1/1/66,0,,
2/1/66,0.628930818,,
3/1/66,0.3125,,
4/1/66,0.62305296,,
5/1/66,0,,
6/1/66,0.309597523,,
7/1/66,0.308641975,,
8/1/66,0.615384615,,
9/1/66,0,,
10/1/66,0.611620795,,
11/1/66,0,,
12/1/66,0,,
1/1/67,0,,
2/1/67,0,,
3/1/67,0.303951368,,
4/1/67,0.303030303,,
5/1/67,0.302114804,,
6/1/67,0.301204819,,
7/1/67,0.3003003,,
8/1/67,0.299401198,,
9/1/67,0.298507463,,
10/1/67,0.297619048,,
11/1/67,0.296735905,,
12/1/67,0.295857988,,
1/1/68,0.589970501,,
2/1/68,0.293255132,,
3/1/68,0.292397661,,
4/1/68,0.29154519,,
5/1/68,0.290697674,,
6/1/68,0.579710145,,
7/1/68,0.576368876,,
8/1/68,0.286532951,,
9/1/68,0.285714286,,
10/1/68,0.56980057,,
11/1/68,0.283286119,,
12/1/68,0.282485876,,
1/1/69,0.281690141,,
2/1/69,0.561797753,,
3/1/69,0.837988827,,
4/1/69,0.55401662,,
5/1/69,0.275482094,,
6/1/69,0.549450549,,
7/1/69,0.546448087,,
8/1/69,0.543478261,,
9/1/69,0.27027027,,
10/1/69,0.539083558,,
11/1/69,0.536193029,,
12/1/69,0.533333333,,
1/1/70,0.265251989,,
2/1/70,0.529100529,,
3/1/70,0.526315789,,
4/1/70,0.785340314,,
5/1/70,0.25974026,,
6/1/70,0.518134715,,
7/1/70,0.515463918,,
8/1/70,0,,
9/1/70,0.512820513,,
10/1/70,0.510204082,,
11/1/70,0.507614213,,
12/1/70,0.505050505,,
1/1/71,0,,
2/1/71,0.251256281,,
3/1/71,0.250626566,,
4/1/71,0.25,,
5/1/71,0.498753117,,
