DATE,TDSP,,
1/1/80,10.61574,,https://fred.stlouisfed.org/series/TDSP
4/1/80,10.6369,,
7/1/80,10.406386,,
10/1/80,10.252837,,
1/1/81,10.287516,,
4/1/81,10.416878,,
7/1/81,10.306743,,
10/1/81,10.379325,,
1/1/82,10.447258,,
4/1/82,10.504029,,
7/1/82,10.409941,,
10/1/82,10.38041,,
1/1/83,10.348922,,
4/1/83,10.376333,,
7/1/83,10.381299,,
10/1/83,10.425534,,
1/1/84,10.478991,,
4/1/84,10.607963,,
7/1/84,10.719033,,
10/1/84,10.878463,,
1/1/85,11.220536,,
4/1/85,11.310744,,
7/1/85,11.595799,,
10/1/85,11.72557,,
1/1/86,11.739687,,
4/1/86,11.812105,,
7/1/86,11.91714,,
10/1/86,12.062025,,
1/1/87,11.931285,,
4/1/87,12.067256,,
7/1/87,11.939659,,
10/1/87,11.806446,,
1/1/88,11.752855,,
4/1/88,11.736396,,
7/1/88,11.69119,,
10/1/88,11.569183,,
1/1/89,11.565868,,
4/1/89,11.731492,,
7/1/89,11.793877,,
10/1/89,11.745679,,
1/1/90,11.64915,,
4/1/90,11.60066,,
7/1/90,11.583131,,
10/1/90,11.604449,,
1/1/91,11.578032,,
4/1/91,11.434237,,
7/1/91,11.318681,,
10/1/91,11.117333,,
1/1/92,10.855581,,
4/1/92,10.680886,,
7/1/92,10.54005,,
10/1/92,10.455215,,
1/1/93,10.419139,,
4/1/93,10.35443,,
7/1/93,10.405427,,
10/1/93,10.368518,,
1/1/94,10.388445,,
4/1/94,10.452491,,
7/1/94,10.586958,,
10/1/94,10.69963,,
1/1/95,10.888513,,
4/1/95,11.080721,,
7/1/95,11.185719,,
10/1/95,11.223493,,
1/1/96,11.242343,,
4/1/96,11.269972,,
7/1/96,11.315366,,
10/1/96,11.371211,,
1/1/97,11.328849,,
4/1/97,11.328918,,
7/1/97,11.33802,,
10/1/97,11.288261,,
1/1/98,11.144147,,
4/1/98,11.166536,,
7/1/98,11.152642,,
10/1/98,11.216343,,
1/1/99,11.267941,,
4/1/99,11.429754,,
7/1/99,11.542359,,
10/1/99,11.54613,,
1/1/00,11.525337,,
4/1/00,11.669062,,
7/1/00,11.82722,,
10/1/00,12.020487,,
1/1/01,12.121152,,
4/1/01,12.353634,,
7/1/01,12.309625,,
10/1/01,12.662143,,
1/1/02,12.442115,,
4/1/02,12.347863,,
7/1/02,12.356125,,
10/1/02,12.320268,,
1/1/03,12.348067,,
4/1/03,12.274712,,
7/1/03,12.11426,,
10/1/03,12.184712,,
1/1/04,12.189125,,
4/1/04,12.125358,,
7/1/04,12.231868,,
10/1/04,12.224184,,
1/1/05,12.548985,,
4/1/05,12.543675,,
7/1/05,12.587784,,
10/1/05,12.611487,,
1/1/06,12.618817,,
4/1/06,12.667022,,
7/1/06,12.779304,,
10/1/06,12.866873,,
1/1/07,12.896722,,
4/1/07,12.941819,,
7/1/07,13.050642,,
10/1/07,13.172721,,
1/1/08,13.110655,,
4/1/08,12.760976,,
7/1/08,12.826082,,
10/1/08,12.76267,,
1/1/09,12.676246,,
4/1/09,12.365322,,
7/1/09,12.240999,,
10/1/09,11.94179,,
1/1/10,11.634188,,
4/1/10,11.297374,,
7/1/10,11.096391,,
10/1/10,10.949832,,
1/1/11,10.761016,,
4/1/11,10.680833,,
7/1/11,10.570842,,
10/1/11,10.446358,,
1/1/12,10.207318,,
4/1/12,10.076971,,
7/1/12,10.128193,,
10/1/12,9.805904,,
1/1/13,10.168555,,
4/1/13,10.084725,,
7/1/13,10.045859,,
10/1/13,10.049178,,
1/1/14,9.97121,,
4/1/14,9.90441,,
7/1/14,9.862915,,
10/1/14,9.826612,,
1/1/15,9.847224,,
4/1/15,9.882135,,
7/1/15,9.941434,,
10/1/15,9.882253,,
1/1/16,9.853119,,
4/1/16,9.949156,,
7/1/16,10.011636,,
10/1/16,9.987033,,
1/1/17,9.941708,,
4/1/17,9.909587,,
7/1/17,9.914696,,
10/1/17,9.931012,,
1/1/18,9.876655,,
4/1/18,9.829292,,
7/1/18,9.806163,,
10/1/18,9.789335,,
1/1/19,9.775071,,
4/1/19,9.806773,,
7/1/19,9.815464,,
10/1/19,9.813482,,
1/1/20,9.741978,,
4/1/20,8.776717,,
7/1/20,9.085091,,
10/1/20,9.303685,,
1/1/21,8.308687,,
4/1/21,9.0161,,
7/1/21,9.116879,,
10/1/21,9.251315,,
1/1/22,9.517594,,
4/1/22,9.606619,,
7/1/22,9.674763,,
10/1/22,9.741076,,
1/1/23,9.630561,,
