DATE,DFF,,,
6/15/18,1.9,,,https://fred.stlouisfed.org/series/DFF
6/16/18,1.9,,,
6/17/18,1.9,,,
6/18/18,1.9,,,
6/19/18,1.91,,,
6/20/18,1.92,,,
6/21/18,1.92,,,
6/22/18,1.92,,,
6/23/18,1.92,,,
6/24/18,1.92,,,
6/25/18,1.92,,,
6/26/18,1.92,,,
6/27/18,1.91,,,
6/28/18,1.91,,,
6/29/18,1.91,,,
6/30/18,1.91,,,
7/1/18,1.91,,,
7/2/18,1.91,,,
7/3/18,1.91,,,
7/4/18,1.91,,,
7/5/18,1.91,,,
7/6/18,1.91,,,
7/7/18,1.91,,,
7/8/18,1.91,,,
7/9/18,1.91,,,
7/10/18,1.91,,,
7/11/18,1.91,,,
7/12/18,1.91,,,
7/13/18,1.91,,,
7/14/18,1.91,,,
7/15/18,1.91,,,
7/16/18,1.91,,,
7/17/18,1.91,,,
7/18/18,1.91,,,
7/19/18,1.91,,,
7/20/18,1.91,,,
7/21/18,1.91,,,
7/22/18,1.91,,,
7/23/18,1.91,,,
7/24/18,1.91,,,
7/25/18,1.91,,,
7/26/18,1.91,,,
7/27/18,1.91,,,
7/28/18,1.91,,,
7/29/18,1.91,,,
7/30/18,1.91,,,
7/31/18,1.91,,,
8/1/18,1.91,,,
8/2/18,1.91,,,
8/3/18,1.91,,,
8/4/18,1.91,,,
8/5/18,1.91,,,
8/6/18,1.91,,,
8/7/18,1.91,,,
8/8/18,1.91,,,
8/9/18,1.91,,,
8/10/18,1.91,,,
8/11/18,1.91,,,
8/12/18,1.91,,,
8/13/18,1.91,,,
8/14/18,1.91,,,
8/15/18,1.91,,,
8/16/18,1.92,,,
8/17/18,1.92,,,
8/18/18,1.92,,,
8/19/18,1.92,,,
8/20/18,1.92,,,
8/21/18,1.92,,,
8/22/18,1.92,,,
8/23/18,1.92,,,
8/24/18,1.92,,,
8/25/18,1.92,,,
8/26/18,1.92,,,
8/27/18,1.92,,,
8/28/18,1.92,,,
8/29/18,1.92,,,
8/30/18,1.92,,,
8/31/18,1.91,,,
9/1/18,1.91,,,
9/2/18,1.91,,,
9/3/18,1.91,,,
9/4/18,1.92,,,
9/5/18,1.92,,,
9/6/18,1.92,,,
