DATE,DGS10,,https://fred.stlouisfed.org/series/DGS10
6/15/18,2.93,,
6/18/18,2.92,,
6/19/18,2.89,,
6/20/18,2.93,,
6/21/18,2.9,,
6/22/18,2.9,,
6/25/18,2.87,,
6/26/18,2.88,,
6/27/18,2.83,,
6/28/18,2.84,,
6/29/18,2.85,,
7/2/18,2.87,,
7/3/18,2.83,,
7/4/18,.,,
7/5/18,2.84,,
7/6/18,2.82,,
7/9/18,2.86,,
7/10/18,2.87,,
7/11/18,2.85,,
7/12/18,2.85,,
7/13/18,2.83,,
7/16/18,2.85,,
7/17/18,2.86,,
7/18/18,2.88,,
7/19/18,2.84,,
7/20/18,2.89,,
7/23/18,2.96,,
7/24/18,2.95,,
7/25/18,2.94,,
7/26/18,2.98,,
7/27/18,2.96,,
7/30/18,2.98,,
7/31/18,2.96,,
8/1/18,3,,
8/2/18,2.98,,
8/3/18,2.95,,
8/6/18,2.94,,
8/7/18,2.98,,
8/8/18,2.96,,
8/9/18,2.93,,
8/10/18,2.87,,
8/13/18,2.88,,
8/14/18,2.89,,
8/15/18,2.86,,
8/16/18,2.87,,
8/17/18,2.87,,
8/20/18,2.82,,
8/21/18,2.85,,
8/22/18,2.82,,
8/23/18,2.82,,
8/24/18,2.82,,
8/27/18,2.85,,
8/28/18,2.88,,
8/29/18,2.89,,
8/30/18,2.86,,
8/31/18,2.86,,
9/3/18,.,,
9/4/18,2.9,,
9/5/18,2.9,,
9/6/18,2.88,,
9/7/18,2.94,,
9/10/18,2.94,,
9/11/18,2.98,,
9/12/18,2.97,,
9/13/18,2.97,,
9/14/18,2.99,,
9/17/18,2.99,,
9/18/18,3.05,,
9/19/18,3.08,,
9/20/18,3.07,,
9/21/18,3.07,,
9/24/18,3.08,,
9/25/18,3.1,,
9/26/18,3.06,,
9/27/18,3.06,,
9/28/18,3.05,,
10/1/18,3.09,,
10/2/18,3.05,,
10/3/18,3.15,,
10/4/18,3.19,,
10/5/18,3.23,,
10/8/18,.,,
10/9/18,3.21,,
10/10/18,3.22,,
10/11/18,3.14,,
10/12/18,3.15,,
10/15/18,3.16,,
10/16/18,3.16,,
10/17/18,3.19,,
10/18/18,3.17,,
10/19/18,3.2,,
10/22/18,3.2,,
10/23/18,3.17,,
10/24/18,3.1,,
10/25/18,3.14,,
10/26/18,3.08,,
10/29/18,3.08,,
10/30/18,3.12,,
10/31/18,3.15,,
11/1/18,3.14,,
11/2/18,3.22,,
11/5/18,3.2,,
11/6/18,3.22,,
11/7/18,3.22,,
11/8/18,3.24,,
11/9/18,3.19,,
11/12/18,.,,
11/13/18,3.14,,
11/14/18,3.12,,
11/15/18,3.11,,
11/16/18,3.08,,
11/19/18,3.06,,
11/20/18,3.06,,
11/21/18,3.06,,
11/22/18,.,,
11/23/18,3.05,,
11/26/18,3.07,,
11/27/18,3.06,,
11/28/18,3.06,,
11/29/18,3.03,,
11/30/18,3.01,,
12/3/18,2.98,,
12/4/18,2.91,,
12/5/18,.,,
12/6/18,2.87,,
12/7/18,2.85,,
12/10/18,2.85,,
12/11/18,2.89,,
12/12/18,2.91,,
12/13/18,2.91,,
12/14/18,2.89,,
12/17/18,2.86,,
12/18/18,2.82,,
12/19/18,2.77,,
12/20/18,2.79,,
12/21/18,2.79,,
12/24/18,2.74,,
12/25/18,.,,
12/26/18,2.81,,
12/27/18,2.77,,
12/28/18,2.72,,
12/31/18,2.69,,
1/1/19,.,,
1/2/19,2.66,,
1/3/19,2.56,,
1/4/19,2.67,,
1/7/19,2.7,,
1/8/19,2.73,,
1/9/19,2.74,,
1/10/19,2.74,,
1/11/19,2.71,,
1/14/19,2.71,,
1/15/19,2.72,,
1/16/19,2.73,,
1/17/19,2.75,,
1/18/19,2.79,,
1/21/19,.,,
1/22/19,2.74,,
1/23/19,2.76,,
1/24/19,2.72,,
1/25/19,2.76,,
1/28/19,2.75,,
1/29/19,2.72,,
1/30/19,2.7,,
1/31/19,2.63,,
2/1/19,2.7,,
2/4/19,2.73,,
2/5/19,2.71,,
2/6/19,2.7,,
2/7/19,2.65,,
2/8/19,2.63,,
2/11/19,2.65,,
2/12/19,2.68,,
2/13/19,2.71,,
2/14/19,2.66,,
2/15/19,2.66,,
2/18/19,.,,
2/19/19,2.65,,
2/20/19,2.65,,
2/21/19,2.69,,
2/22/19,2.65,,
2/25/19,2.67,,
2/26/19,2.64,,
2/27/19,2.69,,
2/28/19,2.73,,
3/1/19,2.76,,
3/4/19,2.72,,
3/5/19,2.72,,
3/6/19,2.69,,
3/7/19,2.64,,
3/8/19,2.62,,
3/11/19,2.64,,
3/12/19,2.61,,
3/13/19,2.61,,
3/14/19,2.63,,
3/15/19,2.59,,
3/18/19,2.6,,
3/19/19,2.61,,
