DATE,A939RX0Q048SBEA,,https://fred.stlouisfed.org/series/A939RX0Q048SBEA
1/1/47,14213,,
4/1/47,14111,,
7/1/47,14018,,
10/1/47,14171,,
1/1/48,14326,,
4/1/48,14505,,
7/1/48,14525,,
10/1/48,14474,,
1/1/49,14212,,
4/1/49,14107,,
7/1/49,14192,,
10/1/49,14009,,
1/1/50,14500,,
4/1/50,14889,,
7/1/50,15398,,
10/1/50,15623,,
1/1/51,15769,,
4/1/51,15979,,
7/1/51,16234,,
10/1/51,16192,,
1/1/52,16299,,
4/1/52,16271,,
7/1/52,16317,,
10/1/52,16776,,
1/1/53,17025,,
4/1/53,17093,,
7/1/53,16920,,
10/1/53,16586,,
1/1/54,16436,,
4/1/54,16387,,
7/1/54,16496,,
10/1/54,16737,,
1/1/55,17144,,
4/1/55,17353,,
7/1/55,17508,,
10/1/55,17528,,
1/1/56,17388,,
4/1/56,17461,,
7/1/56,17364,,
10/1/56,17562,,
1/1/57,17595,,
4/1/57,17485,,
7/1/57,17578,,
10/1/57,17317,,
1/1/58,16805,,
4/1/58,16850,,
7/1/58,17166,,
10/1/58,17486,,
1/1/59,17745,,
4/1/59,18075,,
7/1/59,18011,,
10/1/59,17983,,
1/1/60,18279,,
4/1/60,18072,,
7/1/60,18070,,
10/1/60,17768,,
1/1/61,17828,,
4/1/61,18061,,
7/1/61,18331,,
10/1/61,18610,,
1/1/62,18875,,
4/1/62,18979,,
7/1/62,19138,,
10/1/62,19124,,
1/1/63,19269,,
4/1/63,19422,,
7/1/63,19774,,
10/1/63,19827,,
1/1/64,20182,,
4/1/64,20337,,
7/1/64,20580,,
10/1/64,20571,,
1/1/65,21011,,
4/1/65,21219,,
7/1/65,21618,,
10/1/65,22044,,
1/1/66,22525,,
4/1/66,22543,,
7/1/66,22664,,
10/1/66,22780,,
1/1/67,22926,,
4/1/67,22883,,
7/1/67,23035,,
10/1/67,23144,,
1/1/68,23566,,
4/1/68,23905,,
7/1/68,24025,,
10/1/68,24054,,
1/1/69,24380,,
4/1/69,24399,,
7/1/69,24491,,
10/1/69,24300,,
1/1/70,24204,,
4/1/70,24163,,
7/1/70,24303,,
10/1/70,23960,,
1/1/71,24535,,
4/1/71,24597,,
7/1/71,24723,,
10/1/71,24705,,
1/1/72,25099,,
4/1/72,25608,,
7/1/72,25783,,
10/1/72,26146,,
1/1/73,26735,,
4/1/73,26966,,
7/1/73,26758,,
10/1/73,26946,,
1/1/74,26660,,
4/1/74,26666,,
7/1/74,26347,,
10/1/74,26177,,
1/1/75,25806,,
4/1/75,25928,,
7/1/75,26294,,
10/1/75,26579,,
1/1/76,27119,,
4/1/76,27260,,
7/1/76,27339,,
10/1/76,27464,,
1/1/77,27724,,
4/1/77,28195,,
7/1/77,28623,,
10/1/77,28543,,
1/1/78,28567,,
4/1/78,29596,,
7/1/78,29806,,
10/1/78,30119,,
1/1/79,30096,,
4/1/79,30050,,
7/1/79,30182,,
10/1/79,30164,,
1/1/80,30174,,
4/1/80,29470,,
7/1/80,29347,,
10/1/80,29813,,
1/1/81,30335,,
4/1/81,30042,,
7/1/81,30319,,
10/1/81,29911,,
1/1/82,29384,,
4/1/82,29453,,
7/1/82,29265,,
10/1/82,29205,,
1/1/83,29530,,
4/1/83,30140,,
7/1/83,30667,,
10/1/83,31233,,
1/1/84,31783,,
4/1/84,32267,,
7/1/84,32498,,
10/1/84,32686,,
1/1/85,32941,,
4/1/85,33161,,
7/1/85,33581,,
10/1/85,33746,,
1/1/86,33994,,
4/1/86,34075,,
7/1/86,34316,,
10/1/86,34418,,
1/1/87,34607,,
4/1/87,34907,,
7/1/87,35123,,
10/1/87,35638,,
1/1/88,35751,,
4/1/88,36145,,
7/1/88,36262,,
10/1/88,36654,,
1/1/89,36953,,
4/1/89,37151,,
7/1/89,37323,,
10/1/89,37295,,
1/1/90,37617,,
4/1/90,37636,,
7/1/90,37529,,
10/1/90,37056,,
1/1/91,36769,,
4/1/91,36938,,
7/1/91,36993,,
10/1/91,36995,,
1/1/92,37328,,
4/1/92,37607,,
7/1/92,37839,,
10/1/92,38102,,
1/1/93,38053,,
4/1/93,38158,,
7/1/93,38210,,
10/1/93,38606,,
1/1/94,38876,,
4/1/94,39288,,
7/1/94,39390,,
10/1/94,39720,,
1/1/95,39754,,
4/1/95,39760,,
7/1/95,39969,,
10/1/95,40117,,
1/1/96,40317,,
4/1/96,40873,,
7/1/96,41106,,
10/1/96,41401,,
1/1/97,41558,,
4/1/97,42128,,
7/1/97,42514,,
10/1/97,42745,,
1/1/98,43062,,
4/1/98,43342,,
7/1/98,43748,,
10/1/98,44321,,
1/1/99,44627,,
4/1/99,44876,,
7/1/99,45326,,
10/1/99,45932,,
1/1/00,45983,,
4/1/00,46704,,
7/1/00,46624,,
10/1/00,46777,,
1/1/01,46519,,
4/1/01,46698,,
7/1/01,46390,,
10/1/01,46400,,
1/1/02,46683,,
4/1/02,46866,,
7/1/02,46936,,
10/1/02,46883,,
1/1/03,47027,,
4/1/03,47342,,
7/1/03,48012,,
10/1/03,48450,,
1/1/04,48633,,
4/1/04,48905,,
7/1/04,49243,,
10/1/04,49623,,
1/1/05,50068,,
4/1/05,50204,,
7/1/05,50470,,
10/1/05,50629,,
1/1/06,51200,,
4/1/06,51210,,
7/1/06,51155,,
10/1/06,51455,,
