DATE,MYAGM2USM052S,,https://fred.stlouisfed.org/series/MYAGM2USM052S
1/1/59,2.866E+11,,
2/1/59,2.877E+11,,
3/1/59,2.892E+11,,
4/1/59,2.901E+11,,
5/1/59,2.922E+11,,
6/1/59,2.941E+11,,
7/1/59,2.952E+11,,
8/1/59,2.964E+11,,
9/1/59,2.967E+11,,
10/1/59,2.965E+11,,
11/1/59,2.971E+11,,
12/1/59,2.978E+11,,
1/1/60,2.982E+11,,
2/1/60,2.985E+11,,
3/1/60,2.994E+11,,
4/1/60,3.001E+11,,
5/1/60,3.009E+11,,
6/1/60,3.023E+11,,
7/1/60,3.041E+11,,
8/1/60,3.069E+11,,
9/1/60,3.084E+11,,
10/1/60,3.095E+11,,
11/1/60,3.109E+11,,
12/1/60,3.124E+11,,
1/1/61,3.141E+11,,
2/1/61,3.165E+11,,
3/1/61,3.183E+11,,
4/1/61,3.199E+11,,
5/1/61,3.222E+11,,
6/1/61,3.243E+11,,
7/1/61,3.256E+11,,
8/1/61,3.276E+11,,
9/1/61,3.295E+11,,
10/1/61,3.311E+11,,
11/1/61,3.334E+11,,
12/1/61,3.355E+11,,
1/1/62,3.375E+11,,
2/1/62,3.401E+11,,
3/1/62,3.431E+11,,
4/1/62,3.455E+11,,
5/1/62,3.475E+11,,
6/1/62,3.493E+11,,
7/1/62,3.508E+11,,
8/1/62,3.528E+11,,
9/1/62,3.549E+11,,
10/1/62,3.572E+11,,
11/1/62,3.598E+11,,
12/1/62,3.627E+11,,
1/1/63,3.652E+11,,
2/1/63,3.679E+11,,
3/1/63,3.707E+11,,
4/1/63,3.733E+11,,
5/1/63,3.761E+11,,
6/1/63,3.784E+11,,
7/1/63,3.811E+11,,
8/1/63,3.836E+11,,
9/1/63,3.86E+11,,
10/1/63,3.883E+11,,
11/1/63,3.915E+11,,
12/1/63,3.932E+11,,
1/1/64,3.952E+11,,
2/1/64,3.976E+11,,
3/1/64,3.998E+11,,
4/1/64,4.017E+11,,
5/1/64,4.042E+11,,
6/1/64,4.071E+11,,
7/1/64,4.101E+11,,
8/1/64,4.134E+11,,
9/1/64,4.169E+11,,
10/1/64,4.191E+11,,
11/1/64,4.221E+11,,
12/1/64,4.247E+11,,
1/1/65,4.275E+11,,
2/1/65,4.304E+11,,
3/1/65,4.332E+11,,
4/1/65,4.354E+11,,
5/1/65,4.371E+11,,
6/1/65,4.401E+11,,
7/1/65,4.429E+11,,
8/1/65,4.458E+11,,
9/1/65,4.495E+11,,
10/1/65,4.526E+11,,
11/1/65,4.557E+11,,
12/1/65,4.592E+11,,
1/1/66,4.62E+11,,
2/1/66,4.646E+11,,
3/1/66,4.672E+11,,
4/1/66,4.693E+11,,
5/1/66,4.701E+11,,
6/1/66,4.712E+11,,
7/1/66,4.709E+11,,
8/1/66,4.726E+11,,
9/1/66,4.754E+11,,
10/1/66,4.757E+11,,
11/1/66,4.773E+11,,
12/1/66,4.802E+11,,
1/1/67,4.816E+11,,
2/1/67,4.851E+11,,
3/1/67,4.897E+11,,
4/1/67,4.921E+11,,
5/1/67,4.972E+11,,
6/1/67,5.02E+11,,
7/1/67,5.063E+11,,
8/1/67,5.108E+11,,
9/1/67,5.147E+11,,
10/1/67,5.182E+11,,
11/1/67,5.212E+11,,
12/1/67,5.248E+11,,
1/1/68,5.274E+11,,
2/1/68,5.304E+11,,
3/1/68,5.332E+11,,
4/1/68,5.357E+11,,
5/1/68,5.389E+11,,
6/1/68,5.426E+11,,
7/1/68,5.456E+11,,
8/1/68,5.494E+11,,
9/1/68,5.536E+11,,
10/1/68,5.576E+11,,
11/1/68,5.624E+11,,
12/1/68,5.668E+11,,
1/1/69,5.693E+11,,
2/1/69,5.719E+11,,
3/1/69,5.744E+11,,
4/1/69,5.757E+11,,
5/1/69,5.765E+11,,
6/1/69,5.785E+11,,
7/1/69,5.795E+11,,
8/1/69,5.801E+11,,
9/1/69,5.821E+11,,
10/1/69,5.834E+11,,
11/1/69,5.854E+11,,
12/1/69,5.879E+11,,
1/1/70,5.896E+11,,
2/1/70,5.863E+11,,
3/1/70,5.873E+11,,
4/1/70,5.884E+11,,
5/1/70,5.915E+11,,
6/1/70,5.952E+11,,
7/1/70,5.991E+11,,
8/1/70,6.049E+11,,
9/1/70,6.112E+11,,
10/1/70,6.164E+11,,
11/1/70,6.211E+11,,
12/1/70,6.265E+11,,
1/1/71,6.33E+11,,
2/1/71,6.41E+11,,
3/1/71,6.499E+11,,
4/1/71,6.584E+11,,
5/1/71,6.667E+11,,
6/1/71,6.73E+11,,
7/1/71,6.796E+11,,
8/1/71,6.855E+11,,
9/1/71,6.925E+11,,
10/1/71,6.984E+11,,
11/1/71,7.046E+11,,
12/1/71,7.103E+11,,
1/1/72,7.177E+11,,
2/1/72,7.257E+11,,
3/1/72,7.335E+11,,
4/1/72,7.384E+11,,
5/1/72,7.434E+11,,
6/1/72,7.497E+11,,
7/1/72,7.595E+11,,
8/1/72,7.687E+11,,
9/1/72,7.783E+11,,
10/1/72,7.869E+11,,
11/1/72,7.939E+11,,
12/1/72,8.023E+11,,
1/1/73,8.103E+11,,
2/1/73,8.141E+11,,
3/1/73,8.153E+11,,
4/1/73,8.197E+11,,
5/1/73,8.268E+11,,
6/1/73,8.333E+11,,
7/1/73,8.365E+11,,
8/1/73,8.388E+11,,
9/1/73,8.393E+11,,
10/1/73,8.426E+11,,
11/1/73,8.489E+11,,
12/1/73,8.555E+11,,
1/1/74,8.597E+11,,
2/1/74,8.642E+11,,
3/1/74,8.701E+11,,
4/1/74,8.729E+11,,
5/1/74,8.746E+11,,
6/1/74,8.778E+11,,
7/1/74,8.814E+11,,
8/1/74,8.841E+11,,
9/1/74,8.879E+11,,
10/1/74,8.933E+11,,
11/1/74,8.986E+11,,
12/1/74,9.021E+11,,
1/1/75,9.063E+11,,
2/1/75,9.141E+11,,
3/1/75,9.25E+11,,
4/1/75,9.351E+11,,
5/1/75,9.479E+11,,
6/1/75,9.63E+11,,
7/1/75,9.751E+11,,
8/1/75,9.831E+11,,
9/1/75,9.915E+11,,
10/1/75,9.978E+11,,
11/1/75,1.0069E+12,,
12/1/75,1.0162E+12,,
1/1/76,1.0266E+12,,
2/1/76,1.0403E+12,,
3/1/76,1.05E+12,,
4/1/76,1.0608E+12,,
5/1/76,1.0721E+12,,
6/1/76,1.0776E+12,,
7/1/76,1.0863E+12,,
8/1/76,1.0987E+12,,
9/1/76,1.1108E+12,,
10/1/76,1.125E+12,,
11/1/76,1.1382E+12,,
12/1/76,1.152E+12,,
1/1/77,1.1652E+12,,
2/1/77,1.1776E+12,,
3/1/77,1.1885E+12,,
4/1/77,1.1996E+12,,
5/1/77,1.209E+12,,
6/1/77,1.2178E+12,,
7/1/77,1.2267E+12,,
8/1/77,1.237E+12,,
9/1/77,1.2462E+12,,
10/1/77,1.254E+12,,
11/1/77,1.2624E+12,,
12/1/77,1.2703E+12,,
1/1/78,1.2797E+12,,
2/1/78,1.2855E+12,,
3/1/78,1.2922E+12,,
4/1/78,1.3004E+12,,
5/1/78,1.3105E+12,,
6/1/78,1.3185E+12,,
7/1/78,1.3241E+12,,
8/1/78,1.3335E+12,,
9/1/78,1.345E+12,,
10/1/78,1.3523E+12,,
11/1/78,1.3591E+12,,
12/1/78,1.366E+12,,
1/1/79,1.3716E+12,,
2/1/79,1.3778E+12,,
3/1/79,1.3878E+12,,
4/1/79,1.4021E+12,,
5/1/79,1.4102E+12,,
6/1/79,1.423E+12,,
7/1/79,1.4348E+12,,
8/1/79,1.4466E+12,,
9/1/79,1.4541E+12,,
10/1/79,1.4604E+12,,
11/1/79,1.4659E+12,,
12/1/79,1.4737E+12,,
1/1/80,1.4827E+12,,
2/1/80,1.4946E+12,,
3/1/80,1.4998E+12,,
4/1/80,1.5022E+12,,
5/1/80,1.5123E+12,,
6/1/80,1.5292E+12,,
7/1/80,1.5455E+12,,
8/1/80,1.5615E+12,,
9/1/80,1.574E+12,,
10/1/80,1.5848E+12,,
11/1/80,1.5958E+12,,
12/1/80,1.5998E+12,,
1/1/81,1.6069E+12,,
2/1/81,1.6187E+12,,
3/1/81,1.6366E+12,,
4/1/81,1.6592E+12,,
5/1/81,1.6642E+12,,
6/1/81,1.6703E+12,,
7/1/81,1.6819E+12,,
8/1/81,1.6943E+12,,
9/1/81,1.706E+12,,
10/1/81,1.7218E+12,,
11/1/81,1.7361E+12,,
12/1/81,1.7555E+12,,
1/1/82,1.7704E+12,,
2/1/82,1.7745E+12,,
3/1/82,1.7865E+12,,
4/1/82,1.8039E+12,,
5/1/82,1.8154E+12,,
6/1/82,1.826E+12,,
7/1/82,1.8337E+12,,
8/1/82,1.8485E+12,,
9/1/82,1.8624E+12,,
10/1/82,1.8737E+12,,
11/1/82,1.8873E+12,,
12/1/82,1.9093E+12,,
1/1/83,1.9624E+12,,
2/1/83,1.9996E+12,,
3/1/83,2.0178E+12,,
4/1/83,2.0311E+12,,
5/1/83,2.0455E+12,,
6/1/83,2.0558E+12,,
7/1/83,2.0671E+12,,
8/1/83,2.0762E+12,,
9/1/83,2.0853E+12,,
10/1/83,2.1015E+12,,
11/1/83,2.1146E+12,,
12/1/83,2.1257E+12,,
1/1/84,2.1404E+12,,
2/1/84,2.1605E+12,,
3/1/84,2.1775E+12,,
4/1/84,2.1939E+12,,
5/1/84,2.2064E+12,,
6/1/84,2.2174E+12,,
7/1/84,2.2258E+12,,
8/1/84,2.2325E+12,,
9/1/84,2.2465E+12,,
10/1/84,2.2611E+12,,
11/1/84,2.2836E+12,,
12/1/84,2.3088E+12,,
1/1/85,2.3349E+12,,
2/1/85,2.3564E+12,,
3/1/85,2.3685E+12,,
4/1/85,2.3778E+12,,
5/1/85,2.3921E+12,,
6/1/85,2.4152E+12,,
7/1/85,2.432E+12,,
8/1/85,2.4465E+12,,
9/1/85,2.4588E+12,,
10/1/85,2.4706E+12,,
11/1/85,2.4802E+12,,
12/1/85,2.4946E+12,,
1/1/86,2.5048E+12,,
2/1/86,2.5153E+12,,
3/1/86,2.5356E+12,,
4/1/86,2.5603E+12,,
5/1/86,2.5878E+12,,
6/1/86,2.608E+12,,
7/1/86,2.6298E+12,,
8/1/86,2.6497E+12,,
9/1/86,2.6712E+12,,
10/1/86,2.6911E+12,,
11/1/86,2.7049E+12,,
12/1/86,2.7316E+12,,
1/1/87,2.7473E+12,,
2/1/87,2.7511E+12,,
3/1/87,2.757E+12,,
4/1/87,2.7713E+12,,
5/1/87,2.7766E+12,,
6/1/87,2.7782E+12,,
7/1/87,2.7827E+12,,
8/1/87,2.7918E+12,,
9/1/87,2.8032E+12,,
10/1/87,2.8188E+12,,
11/1/87,2.8235E+12,,
12/1/87,2.831E+12,,
1/1/88,2.852E+12,,
2/1/88,2.875E+12,,
3/1/88,2.8952E+12,,
4/1/88,2.9153E+12,,
5/1/88,2.9307E+12,,
6/1/88,2.9428E+12,,
7/1/88,2.9526E+12,,
8/1/88,2.9577E+12,,
9/1/88,2.9626E+12,,
10/1/88,2.971E+12,,
11/1/88,2.9859E+12,,
12/1/88,2.9939E+12,,
1/1/89,2.9972E+12,,
2/1/89,2.9976E+12,,
3/1/89,3.0052E+12,,
4/1/89,3.0114E+12,,
5/1/89,3.0171E+12,,
6/1/89,3.0334E+12,,
7/1/89,3.0581E+12,,
8/1/89,3.0801E+12,,
9/1/89,3.0985E+12,,
10/1/89,3.1203E+12,,
11/1/89,3.1392E+12,,
12/1/89,3.1584E+12,,
1/1/90,3.1723E+12,,
