RegionType,Location Name,CBSACode,Year-Month,MortgageData
National,United States,-----,2008-02,3.2%
State,Alabama,01',2008-02,4.0%
State,Alaska,02',2008-02,2.2%
State,Arizona,04',2008-02,3.3%
State,Arkansas,05',2008-02,3.5%
State,California,06',2008-02,2.9%
State,Colorado,08',2008-02,2.5%
State,Connecticut,09',2008-02,2.6%
State,Delaware,10',2008-02,2.9%
State,District of Columbia,11',2008-02,2.8%
State,Florida,12',2008-02,4.0%
State,Georgia,13',2008-02,4.4%
State,Hawaii,15',2008-02,1.7%
State,Idaho,16',2008-02,2.5%
State,Illinois,17',2008-02,2.9%
State,Indiana,18',2008-02,3.8%
State,Iowa,19',2008-02,2.6%
State,Kansas,20',2008-02,2.7%
State,Kentucky,21',2008-02,3.4%
State,Louisiana,22',2008-02,3.5%
State,Maine,23',2008-02,3.1%
State,Maryland,24',2008-02,3.1%
State,Massachusetts,25',2008-02,2.7%
State,Michigan,26',2008-02,4.1%
State,Minnesota,27',2008-02,2.5%
State,Mississippi,28',2008-02,4.5%
State,Missouri,29',2008-02,3.5%
State,Montana,30',2008-02,2.0%
State,Nebraska,31',2008-02,2.3%
State,Nevada,32',2008-02,3.6%
State,New Hampshire,33',2008-02,2.8%
State,New Jersey,34',2008-02,2.8%
State,New Mexico,35',2008-02,2.8%
State,New York,36',2008-02,2.9%
State,North Carolina,37',2008-02,3.7%
State,North Dakota,38',2008-02,1.4%
State,Ohio,39',2008-02,3.4%
State,Oklahoma,40',2008-02,3.2%
State,Oregon,41',2008-02,1.8%
State,Pennsylvania,42',2008-02,3.4%
State,Rhode Island,44',2008-02,3.4%
State,South Carolina,45',2008-02,3.8%
State,South Dakota,46',2008-02,2.1%
State,Tennessee,47',2008-02,4.0%
State,Texas,48',2008-02,4.0%
State,Utah,49',2008-02,2.3%
State,Vermont,50',2008-02,2.1%
State,Virginia,51',2008-02,2.7%
State,Washington,53',2008-02,1.7%
State,West Virginia,54',2008-02,4.1%
State,Wisconsin,55',2008-02,2.0%
State,Wyoming,56',2008-02,1.9%
National,United States,-----,2008-03,3.1%
State,Alabama,01',2008-03,3.9%
State,Alaska,02',2008-03,2.3%
State,Arizona,04',2008-03,3.2%
State,Arkansas,05',2008-03,3.1%
State,California,06',2008-03,2.9%
State,Colorado,08',2008-03,2.4%
State,Connecticut,09',2008-03,2.7%
State,Delaware,10',2008-03,2.8%
State,District of Columbia,11',2008-03,2.6%
State,Florida,12',2008-03,4.1%
State,Georgia,13',2008-03,4.1%
State,Hawaii,15',2008-03,1.7%
State,Idaho,16',2008-03,2.3%
State,Illinois,17',2008-03,2.8%
State,Indiana,18',2008-03,3.4%
State,Iowa,19',2008-03,2.4%
State,Kansas,20',2008-03,2.7%
State,Kentucky,21',2008-03,3.1%
State,Louisiana,22',2008-03,3.3%
State,Maine,23',2008-03,2.9%
State,Maryland,24',2008-03,3.0%
State,Massachusetts,25',2008-03,2.7%
State,Michigan,26',2008-03,3.9%
State,Minnesota,27',2008-03,2.4%
State,Mississippi,28',2008-03,4.4%
State,Missouri,29',2008-03,3.3%
State,Montana,30',2008-03,1.5%
State,Nebraska,31',2008-03,2.3%
State,Nevada,32',2008-03,3.7%
State,New Hampshire,33',2008-03,2.8%
State,New Jersey,34',2008-03,2.7%
State,New Mexico,35',2008-03,2.6%
State,New York,36',2008-03,2.8%
State,North Carolina,37',2008-03,3.3%
State,North Dakota,38',2008-03,1.2%
State,Ohio,39',2008-03,3.2%
State,Oklahoma,40',2008-03,3.0%
State,Oregon,41',2008-03,1.8%
State,Pennsylvania,42',2008-03,3.2%
State,Rhode Island,44',2008-03,3.3%
State,South Carolina,45',2008-03,3.5%
State,South Dakota,46',2008-03,1.6%
State,Tennessee,47',2008-03,3.7%
State,Texas,48',2008-03,3.8%
State,Utah,49',2008-03,2.2%
State,Vermont,50',2008-03,1.9%
State,Virginia,51',2008-03,2.5%
State,Washington,53',2008-03,1.8%
State,West Virginia,54',2008-03,3.6%
State,Wisconsin,55',2008-03,1.9%
State,Wyoming,56',2008-03,2.1%
National,United States,-----,2008-04,3.1%
State,Alabama,01',2008-04,3.9%
State,Alaska,02',2008-04,2.2%
State,Arizona,04',2008-04,3.2%
State,Arkansas,05',2008-04,3.1%
State,California,06',2008-04,2.9%
State,Colorado,08',2008-04,2.3%
State,Connecticut,09',2008-04,2.7%
State,Delaware,10',2008-04,2.8%
State,District of Columbia,11',2008-04,2.5%
State,Florida,12',2008-04,4.0%
State,Georgia,13',2008-04,4.2%
State,Hawaii,15',2008-04,1.5%
State,Idaho,16',2008-04,2.3%
State,Illinois,17',2008-04,2.8%
State,Indiana,18',2008-04,3.5%
State,Iowa,19',2008-04,2.3%
State,Kansas,20',2008-04,2.6%
State,Kentucky,21',2008-04,3.2%
State,Louisiana,22',2008-04,3.2%
State,Maine,23',2008-04,2.8%
State,Maryland,24',2008-04,3.0%
State,Massachusetts,25',2008-04,2.6%
State,Michigan,26',2008-04,4.0%
State,Minnesota,27',2008-04,2.4%
State,Mississippi,28',2008-04,4.5%
State,Missouri,29',2008-04,3.3%
State,Montana,30',2008-04,1.6%
State,Nebraska,31',2008-04,2.2%
State,Nevada,32',2008-04,3.6%
State,New Hampshire,33',2008-04,2.7%
State,New Jersey,34',2008-04,2.7%
State,New Mexico,35',2008-04,2.6%
State,New York,36',2008-04,2.7%
