DATE,CC4WSA,,,
1/28/67,1118750,,,https://fred.stlouisfed.org/series/CC4WSA
2/4/67,1118000,,,
2/11/67,1126500,,,
2/18/67,1138500,,,
2/25/67,1162500,,,
3/4/67,1188500,,,
3/11/67,1208750,,,
3/18/67,1226000,,,
3/25/67,1243250,,,
4/1/67,1257250,,,
4/8/67,1267000,,,
4/15/67,1277500,,,
4/22/67,1279750,,,
4/29/67,1278500,,,
5/6/67,1287250,,,
5/13/67,1288750,,,
5/20/67,1285750,,,
5/27/67,1277500,,,
6/3/67,1266750,,,
6/10/67,1258500,,,
6/17/67,1254250,,,
6/24/67,1246000,,,
7/1/67,1228000,,,
7/8/67,1227250,,,
7/15/67,1229750,,,
7/22/67,1237750,,,
7/29/67,1259500,,,
8/5/67,1257500,,,
8/12/67,1246750,,,
8/19/67,1234250,,,
8/26/67,1209250,,,
9/2/67,1200250,,,
9/9/67,1193750,,,
9/16/67,1188000,,,
9/23/67,1187500,,,
9/30/67,1175750,,,
10/7/67,1169750,,,
10/14/67,1172250,,,
10/21/67,1171250,,,
10/28/67,1172250,,,
11/4/67,1175000,,,
11/11/67,1163250,,,
11/18/67,1153000,,,
11/25/67,1148250,,,
12/2/67,1141750,,,
12/9/67,1144500,,,
12/16/67,1158250,,,
12/23/67,1171500,,,
12/30/67,1175750,,,
1/6/68,1177000,,,
1/13/68,1176750,,,
1/20/68,1175750,,,
1/27/68,1173250,,,
2/3/68,1177000,,,
2/10/68,1174000,,,
2/17/68,1162000,,,
2/24/68,1164000,,,
3/2/68,1158500,,,
3/9/68,1151500,,,
3/16/68,1151500,,,
3/23/68,1144250,,,
3/30/68,1136250,,,
4/6/68,1119250,,,
4/13/68,1103250,,,
4/20/68,1084000,,,
4/27/68,1076000,,,
5/4/68,1076000,,,
5/11/68,1079000,,,
5/18/68,1082000,,,
5/25/68,1078500,,,
6/1/68,1074500,,,
6/8/68,1076000,,,
6/15/68,1076000,,,
6/22/68,1072750,,,
6/29/68,1066500,,,
7/6/68,1066500,,,
7/13/68,1067750,,,
7/20/68,1061000,,,
7/27/68,1060500,,,
8/3/68,1054250,,,
8/10/68,1057250,,,
8/17/68,1075750,,,
8/24/68,1090250,,,
8/31/68,1088250,,,
9/7/68,1083000,,,
9/14/68,1067250,,,
9/21/68,1055500,,,
9/28/68,1051500,,,
10/5/68,1049750,,,
10/12/68,1050000,,,
10/19/68,1047000,,,
10/26/68,1043250,,,
11/2/68,1035250,,,
11/9/68,1031000,,,
11/16/68,1041250,,,
11/23/68,1038750,,,
11/30/68,1045750,,,
12/7/68,1054500,,,
12/14/68,1050750,,,
12/21/68,1060750,,,
12/28/68,1075750,,,
1/4/69,1089500,,,
1/11/69,1099000,,,
1/18/69,1101250,,,
1/25/69,1091500,,,
2/1/69,1086750,,,
2/8/69,1084000,,,
2/15/69,1094750,,,
2/22/69,1098500,,,
3/1/69,1098250,,,
3/8/69,1101000,,,
3/15/69,1092250,,,
3/22/69,1087000,,,
3/29/69,1072750,,,
4/5/69,1067000,,,
4/12/69,1059500,,,
4/19/69,1048000,,,
4/26/69,1035750,,,
5/3/69,1017500,,,
5/10/69,1009500,,,
5/17/69,1005000,,,
5/24/69,1008500,,,
5/31/69,1004750,,,
6/7/69,998250,,,
6/14/69,999000,,,
6/21/69,1000500,,,
6/28/69,1008750,,,
7/5/69,1028750,,,
7/12/69,1049250,,,
7/19/69,1064250,,,
7/26/69,1086500,,,
8/2/69,1100000,,,
8/9/69,1100250,,,
8/16/69,1099000,,,
8/23/69,1086500,,,
8/30/69,1073500,,,
9/6/69,1078000,,,
9/13/69,1081750,,,
9/20/69,1087500,,,
9/27/69,1090500,,,
10/4/69,1088500,,,
10/11/69,1093000,,,
10/18/69,1101750,,,
10/25/69,1114250,,,
11/1/69,1124250,,,
11/8/69,1135750,,,
11/15/69,1151500,,,
11/22/69,1157000,,,
11/29/69,1174000,,,
12/6/69,1194000,,,
12/13/69,1207000,,,
12/20/69,1230500,,,
12/27/69,1253750,,,
1/3/70,1280250,,,
1/10/70,1310250,,,
1/17/70,1340000,,,
1/24/70,1361000,,,
1/31/70,1374250,,,
2/7/70,1385250,,,
2/14/70,1403750,,,
2/21/70,1409750,,,
2/28/70,1421000,,,
3/7/70,1432500,,,
3/14/70,1435250,,,
3/21/70,1456750,,,
3/28/70,1483500,,,
4/4/70,1516000,,,
4/11/70,1548500,,,
4/18/70,1587250,,,
4/25/70,1640000,,,
5/2/70,1699500,,,
5/9/70,1764750,,,
5/16/70,1811500,,,
5/23/70,1831250,,,
5/30/70,1830250,,,
6/6/70,1822750,,,
6/13/70,1825750,,,
6/20/70,1835000,,,
6/27/70,1849750,,,
7/4/70,1858750,,,
7/11/70,1862750,,,
7/18/70,1866000,,,
7/25/70,1879000,,,
8/1/70,1890750,,,
8/8/70,1896250,,,
8/15/70,1910250,,,
8/22/70,1923250,,,
8/29/70,1949500,,,
9/5/70,1976000,,,
9/12/70,2009750,,,
9/19/70,2034500,,,
9/26/70,2056250,,,
10/3/70,2098250,,,
10/10/70,2133000,,,
10/17/70,2168250,,,
10/24/70,2209500,,,
10/31/70,2226750,,,
11/7/70,2244750,,,
11/14/70,2278000,,,
11/21/70,2285000,,,
11/28/70,2299750,,,
12/5/70,2299000,,,
12/12/70,2261500,,,
12/19/70,2246250,,,
12/26/70,2210000,,,
1/2/71,2166500,,,
1/9/71,2149250,,,
1/16/71,2118250,,,
1/23/71,2104250,,,
1/30/71,2100250,,,
2/6/71,2099250,,,
2/13/71,2094000,,,
2/20/71,2101250,,,
2/27/71,2100000,,,
3/6/71,2103000,,,
3/13/71,2114750,,,
3/20/71,2119750,,,
3/27/71,2138750,,,
4/3/71,2139500,,,
4/10/71,2147000,,,
4/17/71,2152750,,,
4/24/71,2145250,,,
5/1/71,2150750,,,
5/8/71,2156500,,,
5/15/71,2160500,,,
5/22/71,2170500,,,
5/29/71,2174000,,,
6/5/71,2177750,,,
6/12/71,2182750,,,
6/19/71,2186500,,,
6/26/71,2186750,,,
7/3/71,2167250,,,
7/10/71,2150000,,,
7/17/71,2126250,,,
7/24/71,2115500,,,
7/31/71,2124000,,,
8/7/71,2135000,,,
8/14/71,2163750,,,
8/21/71,2178000,,,
8/28/71,2187500,,,
9/4/71,2201000,,,
9/11/71,2213000,,,
9/18/71,2228000,,,
9/25/71,2239250,,,
10/2/71,2236250,,,
10/9/71,2235500,,,
10/16/71,2221500,,,
10/23/71,2207250,,,
10/30/71,2201750,,,
11/6/71,2191000,,,
11/13/71,2177000,,,
11/20/71,2166500,,,
11/27/71,2145750,,,
12/4/71,2124000,,,
12/11/71,2111750,,,
12/18/71,2105500,,,
12/25/71,2087000,,,
1/1/72,2041250,,,
1/8/72,2002750,,,
1/15/72,1956250,,,
1/22/72,1923750,,,
1/29/72,1920500,,,
2/5/72,1923000,,,
2/12/72,1932250,,,
2/19/72,1931000,,,
2/26/72,1926500,,,
3/4/72,1917500,,,
3/11/72,1904000,,,
3/18/72,1905250,,,
3/25/72,1898750,,,
4/1/72,1900750,,,
4/8/72,1901750,,,
4/15/72,1897750,,,
4/22/72,1892250,,,
4/29/72,1881500,,,
5/6/72,1877250,,,
5/13/72,1873000,,,
5/20/72,1875000,,,
5/27/72,1875250,,,
6/3/72,1866250,,,
6/10/72,1865250,,,
6/17/72,1863250,,,
6/24/72,1863250,,,
7/1/72,1882750,,,
7/8/72,1909500,,,
7/15/72,1932500,,,
7/22/72,1955250,,,
7/29/72,1953500,,,
8/5/72,1923000,,,
8/12/72,1889250,,,
8/19/72,1847250,,,
8/26/72,1813250,,,
9/2/72,1809000,,,
9/9/72,1806500,,,
9/16/72,1807750,,,
9/23/72,1807500,,,
9/30/72,1788750,,,
10/7/72,1781000,,,
10/14/72,1771250,,,
10/21/72,1756750,,,
10/28/72,1753500,,,
11/4/72,1741250,,,
11/11/72,1735250,,,
11/18/72,1733750,,,
11/25/72,1732000,,,
12/2/72,1720500,,,
12/9/72,1706750,,,
12/16/72,1714000,,,
12/23/72,1702500,,,
12/30/72,1699250,,,
1/6/73,1683250,,,
1/13/73,1659250,,,
1/20/73,1636750,,,
1/27/73,1621250,,,
2/3/73,1616000,,,
2/10/73,1599500,,,
2/17/73,1593250,,,
2/24/73,1588500,,,
3/3/73,1584250,,,
3/10/73,1581750,,,
3/17/73,1580750,,,
3/24/73,1575750,,,
3/31/73,1567750,,,
4/7/73,1559750,,,
4/14/73,1550000,,,
4/21/73,1552750,,,
4/28/73,1553750,,,
5/5/73,1555750,,,
5/12/73,1560250,,,
5/19/73,1555250,,,
5/26/73,1559250,,,
6/2/73,1558250,,,
6/9/73,1559750,,,
6/16/73,1565500,,,
6/23/73,1566250,,,
6/30/73,1570000,,,
7/7/73,1580500,,,
7/14/73,1587750,,,
7/21/73,1593750,,,
7/28/73,1601750,,,
8/4/73,1608750,,,
8/11/73,1627250,,,
8/18/73,1646750,,,
8/25/73,1664750,,,
9/1/73,1676750,,,
9/8/73,1679000,,,
9/15/73,1677500,,,
9/22/73,1673250,,,
9/29/73,1667500,,,
10/6/73,1659750,,,
10/13/73,1663000,,,
10/20/73,1660000,,,
10/27/73,1664250,,,
11/3/73,1667250,,,
11/10/73,1673000,,,
11/17/73,1686000,,,
11/24/73,1706000,,,
12/1/73,1711750,,,
12/8/73,1715500,,,
12/15/73,1735750,,,
12/22/73,1756000,,,
12/29/73,1784250,,,
1/5/74,1838500,,,
1/12/74,1881000,,,
1/19/74,1920750,,,
1/26/74,1957000,,,
2/2/74,1964250,,,
2/9/74,1979500,,,
2/16/74,1993000,,,
2/23/74,2012250,,,
3/2/74,2026500,,,
3/9/74,2037500,,,
3/16/74,2042250,,,
3/23/74,2054000,,,
3/30/74,2064500,,,
4/6/74,2067500,,,
4/13/74,2068500,,,
4/20/74,2070250,,,
4/27/74,2066000,,,
5/4/74,2063500,,,
