DATE,UNEMPLOY,,https://fred.stlouisfed.org/series/UNEMPLOY
1/1/48,2034,,
2/1/48,2328,,
3/1/48,2399,,
4/1/48,2386,,
5/1/48,2118,,
6/1/48,2214,,
7/1/48,2213,,
8/1/48,2350,,
9/1/48,2302,,
10/1/48,2259,,
11/1/48,2285,,
12/1/48,2429,,
1/1/49,2596,,
2/1/49,2849,,
3/1/49,3030,,
4/1/49,3260,,
5/1/49,3707,,
6/1/49,3776,,
7/1/49,4111,,
8/1/49,4193,,
9/1/49,4049,,
10/1/49,4916,,
11/1/49,3996,,
12/1/49,4063,,
1/1/50,4026,,
2/1/50,3936,,
3/1/50,3876,,
4/1/50,3575,,
5/1/50,3434,,
6/1/50,3367,,
7/1/50,3120,,
8/1/50,2799,,
9/1/50,2774,,
10/1/50,2625,,
11/1/50,2589,,
12/1/50,2639,,
1/1/51,2305,,
2/1/51,2117,,
3/1/51,2125,,
4/1/51,1919,,
5/1/51,1856,,
6/1/51,1995,,
7/1/51,1950,,
8/1/51,1933,,
9/1/51,2067,,
10/1/51,2194,,
11/1/51,2178,,
12/1/51,1960,,
1/1/52,1972,,
2/1/52,1957,,
3/1/52,1813,,
4/1/52,1811,,
5/1/52,1863,,
6/1/52,1884,,
7/1/52,1991,,
8/1/52,2087,,
9/1/52,1936,,
10/1/52,1839,,
11/1/52,1743,,
12/1/52,1667,,
1/1/53,1839,,
2/1/53,1636,,
3/1/53,1647,,
4/1/53,1723,,
5/1/53,1596,,
6/1/53,1607,,
7/1/53,1660,,
8/1/53,1665,,
9/1/53,1821,,
10/1/53,1974,,
11/1/53,2211,,
12/1/53,2818,,
1/1/54,3077,,
2/1/54,3331,,
3/1/54,3607,,
4/1/54,3749,,
5/1/54,3767,,
6/1/54,3551,,
7/1/54,3659,,
8/1/54,3854,,
9/1/54,3927,,
10/1/54,3666,,
11/1/54,3402,,
12/1/54,3196,,
1/1/55,3157,,
2/1/55,2969,,
3/1/55,2918,,
4/1/55,3049,,
5/1/55,2747,,
6/1/55,2701,,
7/1/55,2632,,
8/1/55,2784,,
9/1/55,2678,,
10/1/55,2830,,
11/1/55,2780,,
12/1/55,2761,,
1/1/56,2666,,
2/1/56,2606,,
3/1/56,2764,,
4/1/56,2650,,
5/1/56,2861,,
6/1/56,2882,,
7/1/56,2952,,
8/1/56,2701,,
9/1/56,2635,,
10/1/56,2571,,
11/1/56,2861,,
12/1/56,2790,,
1/1/57,2796,,
2/1/57,2622,,
3/1/57,2509,,
4/1/57,2600,,
5/1/57,2710,,
6/1/57,2856,,
7/1/57,2796,,
8/1/57,2747,,
9/1/57,2943,,
10/1/57,3020,,
11/1/57,3454,,
12/1/57,3476,,
1/1/58,3875,,
2/1/58,4303,,
3/1/58,4492,,
4/1/58,5016,,
5/1/58,5021,,
6/1/58,4944,,
7/1/58,5079,,
8/1/58,5025,,
9/1/58,4821,,
10/1/58,4570,,
11/1/58,4188,,
12/1/58,4191,,
1/1/59,4068,,
2/1/59,3965,,
3/1/59,3801,,
4/1/59,3571,,
5/1/59,3479,,
6/1/59,3429,,
7/1/59,3528,,
8/1/59,3588,,
9/1/59,3775,,
10/1/59,3910,,
11/1/59,4003,,
12/1/59,3653,,
1/1/60,3615,,
2/1/60,3329,,
3/1/60,3726,,
4/1/60,3620,,
5/1/60,3569,,
6/1/60,3766,,
7/1/60,3836,,
8/1/60,3946,,
9/1/60,3884,,
10/1/60,4252,,
11/1/60,4330,,
12/1/60,4617,,
1/1/61,4671,,
2/1/61,4832,,
3/1/61,4853,,
4/1/61,4893,,
5/1/61,5003,,
6/1/61,4885,,
7/1/61,4928,,
8/1/61,4682,,
9/1/61,4676,,
10/1/61,4573,,
11/1/61,4295,,
12/1/61,4177,,
1/1/62,4081,,
2/1/62,3871,,
3/1/62,3921,,
4/1/62,3906,,
5/1/62,3863,,
6/1/62,3844,,
7/1/62,3819,,
8/1/62,4013,,
9/1/62,3961,,
10/1/62,3803,,
11/1/62,4024,,
12/1/62,3907,,
1/1/63,4074,,
2/1/63,4238,,
3/1/63,4072,,
4/1/63,4055,,
5/1/63,4217,,
6/1/63,3977,,
7/1/63,4051,,
8/1/63,3878,,
9/1/63,3957,,
10/1/63,3987,,
11/1/63,4151,,
