"RECORD_DATE","VALUE_CPI_ALL_URBAN","VALUE_CPI_ALL_URBAN_PCTCHG","VALUE_CPI_ALL","VALUE_CPI_MEDIAN","FISCAL_QUARTER","SURROGATE_KEY"
01-JAN-83,5.0146534,0.204918033,0.204918033,41.262863,"Q1",277
01-AUG-84,4.691308114,0.384245917,0.384245917,44.08966445,"Q3",296
01-APR-85,4.493616325,0.469924812,0.469924812,45.10225005,"Q2",304
01-FEB-86,3.170191096,-0.273722628,-0.273722628,46.11483564,"Q1",314
01-JUN-87,2.868557467,0.353669319,0.353669319,47.88686044,"Q2",330
01-OCT-88,4.272697735,0.333889816,0.333889816,50.71366189,"Q4",346
01-JUL-89,5.814260244,0.241740532,0.241740532,52.48568668,"Q3",355
01-JAN-90,5.216139935,1.030927835,1.030927835,53.75141867,"Q1",361
01-JUN-91,2.901936412,0.294985251,0.294985251,57.37985039,"Q2",378
01-JUL-91,4.442030312,0.147058824,0.147058824,57.46423252,"Q3",379
01-MAR-92,3.787065904,0.505050505,0.505050505,58.77215558,"Q1",387
01-MAR-94,2.174536386,0.340831629,0.340831629,62.10524983,"Q1",411
01-APR-95,3.658509799,0.330250991,0.330250991,64.08822996,"Q2",424
01-FEB-96,2.618960712,0.323834197,0.323834197,65.35396195,"Q1",434
01-DEC-96,2.200241216,0,0,66.91503141,"Q4",444
01-MAY-97,2.635673455,-0.062421973,-0.062421973,67.54789741,"Q2",449
01-JUN-01,3.521800315,0.16882386,0.16882386,75.10009831,"Q2",498
01-DEC-01,2.475286032,-0.394588501,-0.394588501,74.55161444,"Q4",504
01-JAN-02,2.761589672,0.226372383,0.226372383,74.72037871,"Q1",505
01-FEB-02,3.383524075,0.395256917,0.395256917,75.01571617,"Q1",506
01-MAY-02,2.420198438,0,0,75.8595375,"Q2",509
01-FEB-04,2.912654553,0.539956803,0.539956803,78.55976576,"Q1",530
01-JUL-04,1.77113696,-0.158144439,-0.158144439,79.90987988,"Q3",535
01-JUN-07,3.268031737,0.193797518,0.193797518,87.9059308,"Q2",570
