"RECORD_DATE","VALUE_FED_DEBT_FRB","VALUE_FED_DEBT_GDP","VALUE_FED_DEBT","VALUE_FED_TOTAL_DEBT","VALUE_FED_GROSS_DEBT_GDP","VALUE_FED_DEBT_PCT_INC","VALUE_MTG_DEBT_PCT_INC","FISCAL_QUARTER","SURROGATE_KEY"
01-APR-71,65.5,34.36089,397305,397305,,,,"Q2",38
01-APR-72,71.4,33.67383,426435,426435,,,,"Q2",42
01-JAN-75,81.4,31.53604,509659,509659,32.16207,,,"Q1",53
01-OCT-78,109.6,31.86206,789207,789207,,,,"Q4",68
01-JAN-80,116.7,30.94982,863451,863451,31.81317,10.61574,4.375714,"Q1",73
01-JAN-83,136.7,35.82911,1244493,1244493,37.74589,10.348922,4.850575,"Q1",85
01-APR-85,169.1,41.31983,1774640,1774640,,11.310744,5.281076,"Q2",94
01-OCT-88,238.4,49.71548,2684392,2684392,,11.569183,5.726589,"Q4",108
01-JUL-89,221.1,50.17117,2857431,2857431,,11.793877,5.948757,"Q3",111
01-JAN-90,217.9,51.96856,3051958,3051958,53.76862,11.64915,6.013543,"Q1",113
01-JUL-91,258.6,59.06123,3665303,3665303,,11.318681,6.181328,"Q3",119
01-APR-95,372.6,65.31294,4951372,4951372,,11.080721,5.686069,"Q2",134
01-JAN-02,575.4,55.6965,6006032,6006032,56.7146,12.442115,5.811716,"Q1",161
01-JUL-04,700.3,59.96643,7379053,7379053,,12.231868,5.922967,"Q3",171
01-OCT-12,1666.1,100.07517,16432730,16432730,,9.805904,4.934149,"Q4",204
01-JAN-16,2815.3,104.55696,19264939,19264939,104.51666,9.853119,4.428295,"Q1",217
01-APR-18,2772.9,103.54111,21195070,21195070,,9.829292,4.184469,"Q2",226
01-OCT-21,6141.5,121.63566,29617215,29617215,,9.251315,3.801857,"Q4",240
01-OCT-67,,39.10231,344663,344663,,,,"Q4",24
01-OCT-69,,35.46954,368226,368226,,,,"Q4",32
01-JAN-45,,,,,114.07545,,,"Q1",252
01-JAN-55,,,,,64.49217,,,"Q1",6
01-JAN-60,,,,,53.56004,,,"Q1",11
01-JAN-61,,,,,52.0447,,,"Q1",12
01-JAN-73,74.3,33.29287,458606,458606,32.71418,,,"Q1",45
01-JUL-76,96.4,33.64333,634701,634701,,,,"Q3",59
01-APR-79,109.7,31.06277,804913,804913,,,,"Q2",70
01-APR-80,124.5,31.37303,877614,877614,,10.6369,4.484928,"Q2",74
01-APR-82,127,32.40213,1079630,1079630,,10.504029,4.930689,"Q2",82
01-OCT-82,139.3,35.18156,1197074,1197074,,10.38041,4.876376,"Q4",84
01-JAN-85,161,40.44121,1710731,1710731,41.88543,11.220536,5.22003,"Q1",93
01-JUL-87,211.9,48.1165,2350277,2350277,,11.939659,5.789598,"Q3",103
01-JAN-93,298.5,62.86657,4230580,4230580,63.43898,10.419139,5.766582,"Q1",125
01-JUL-93,319.4,64.10093,4411489,4411489,,10.405427,5.700123,"Q3",127
01-APR-96,383.9,64.2497,5161076,5161076,,11.269972,5.59455,"Q2",138
01-JAN-01,523.9,55.14434,5773740,5773740,54.52598,12.121152,5.6952,"Q1",157
01-OCT-01,551.7,55.75216,5943439,5943439,,12.662143,5.929021,"Q4",160
01-JAN-05,717.3,60.91302,7776939,7776939,60.6272,12.548985,6.236844,"Q1",173
