"RECORD_DATE","VALUE_MTG_AVG_30","VALUE_REAL_INR_RATE_10YR","VALUE_FED_DEBT","VALUE_FED_FUNDS_EFF_RATE","VALUE_INT_RATE_RESERVE","VALUE_TREASURY_YIELD","FISCAL_QUARTER","SURROGATE_KEY"
21-AUG-87,10.3,,,,,"","Q3",975
20-NOV-87,10.6,,,,,"","Q4",991
04-DEC-87,10.6,,,,,"","Q4",994
22-JAN-88,10.34,,,,,"","Q1",1002
26-FEB-88,9.87,,,,,"","Q1",1008
04-MAR-88,9.85,,,,,"","Q1",1010
10-JUN-88,10.51,,,,,"","Q2",1026
05-AUG-88,10.44,,,,,"","Q3",1035
02-DEC-88,10.44,,,,,"","Q4",1056
16-DEC-88,10.71,,,,,"","Q4",1058
13-JAN-89,10.81,,,,,"","Q1",1063
03-MAR-89,10.91,,,,,"","Q1",1072
21-APR-89,10.99,,,,,"","Q2",1080
09-JUN-89,10.2,,,,,"","Q2",1089
16-JUN-89,10.04,,,,,"","Q2",1090
25-AUG-89,10.21,,,,,"","Q3",1102
29-SEP-89,10.16,,,,,"","Q3",1107
03-NOV-89,9.82,,,,,"","Q4",1114
19-JAN-90,9.9,,,,,"","Q1",1126
09-FEB-90,10.21,,,,,"","Q1",1130
29-JUN-90,10.15,,,,,"","Q2",1153
16-NOV-90,10.02,,,,,"","Q4",1178
04-JAN-91,9.56,,,,,"","Q1",1187
19-APR-91,9.47,,,,,"","Q2",1203
10-MAY-91,9.47,,,,,"","Q2",1207
14-JUN-91,9.66,,,,,"","Q2",1213
15-NOV-91,8.69,,,,,"","Q4",1239
07-FEB-92,8.67,,,,,"","Q1",1254
03-APR-92,8.96,,,,,"","Q2",1264
29-MAY-92,8.6,,,,,"","Q2",1272
14-AUG-92,7.96,,,,,"","Q3",1286
20-NOV-92,8.32,,,,,"","Q4",1303
27-NOV-92,8.29,,,,,"","Q4",1304
04-DEC-92,8.34,,,,,"","Q4",1306
18-DEC-92,8.19,,,,,"","Q4",1308
09-APR-93,7.57,,,,,"","Q2",1328
08-OCT-93,6.87,,,,,"","Q4",1359
05-NOV-93,7.11,,,,,"","Q4",1364
26-NOV-93,7.31,,,,,"","Q4",1367
11-FEB-94,7.21,,,,,"","Q1",1381
10-JUN-94,8.25,,,,,"","Q2",1401
24-JUN-94,8.46,,,,,"","Q2",1403
29-JUL-94,8.57,,,,,"","Q3",1408
11-NOV-94,9.19,,,,,"","Q4",1427
16-DEC-94,9.25,,,,,"","Q4",1433
23-DEC-94,9.18,,,,,"","Q4",1434
10-MAR-95,8.62,,,,,"","Q1",1448
31-MAR-95,8.38,,,,,"","Q1",1451
21-APR-95,8.24,,,,,"","Q2",1455
07-JUL-95,7.63,,,,,"","Q3",1469
25-AUG-95,7.88,,,,,"","Q3",1477
13-OCT-95,7.5,,,,,"","Q4",1485
15-DEC-95,7.15,,,,,"","Q4",1495
23-FEB-96,7.32,,,,,"","Q1",1507
05-APR-96,7.78,,,,,"","Q2",1514
26-APR-96,7.92,,,,,"","Q2",1517
03-MAY-96,7.99,,,,,"","Q2",1519
31-MAY-96,8.03,,,,,"","Q2",1523
26-JUL-96,8.19,,,,,"","Q3",1533
16-AUG-96,7.88,,,,,"","Q3",1537
08-NOV-96,7.67,,,,,"","Q4",1551
15-NOV-96,7.59,,,,,"","Q4",1552
06-DEC-96,7.44,,,,,"","Q4",1556
13-DEC-96,7.57,,,,,"","Q4",1557
07-FEB-97,7.74,,,,,"","Q1",1567
18-APR-97,8.16,,,,,"","Q2",1579
23-MAY-97,7.92,,,,,"","Q2",1585
13-JUN-97,7.72,,,,,"","Q2",1589
10-OCT-97,7.26,,,,,"","Q4",1609
19-DEC-97,7.07,,,,,"","Q4",1621
06-FEB-98,7.03,,,,,"","Q1",1630
20-MAR-98,7.08,,,,,"","Q1",1637
03-APR-98,7.15,,,,,"","Q2",1640
10-APR-98,7.09,,,,,"","Q2",1641
05-JUN-98,7.05,,,,,"","Q2",1650
09-OCT-98,6.49,,,,,"","Q4",1672
04-DEC-98,6.71,,,,,"","Q4",1682
15-JAN-99,6.83,,,,,"","Q1",1689
14-MAY-99,7.1,,,,,"","Q2",1710
04-JUN-99,7.41,,,,,"","Q2",1714
11-JUN-99,7.51,,,,,"","Q2",1715
02-JUL-99,7.71,,,,,"","Q3",1719
23-JUL-99,7.52,,,,,"","Q3",1722
13-AUG-99,8.15,,,,,"","Q3",1726
10-DEC-99,7.84,,,,,"","Q4",1746
22-SEP-00,7.9,,,,,"","Q3",1795
17-NOV-00,7.73,,,,,"","Q4",1805
23-FEB-01,7.12,,,,,"","Q1",1821
13-APR-01,7.04,,,,,"","Q2",1830
20-APR-01,7.14,,,,,"","Q2",1831
01-JUN-01,7.24,2.52645602,,,,"","Q2",1838
08-JUN-01,7.2,,,,,"","Q2",1839
07-SEP-01,6.89,,,,,"","Q3",1855
14-SEP-01,6.86,,,,,"","Q3",1856
01-FEB-02,7.02,2.40007343,,,,"","Q1",1880
15-MAR-02,7.08,,,,,"","Q1",1886
05-APR-02,7.13,,,,,"","Q2",1890
24-MAY-02,6.81,,,,,"","Q2",1898
14-JUN-02,6.71,,,,,"","Q2",1902
06-DEC-02,6.19,,,,,"","Q4",1932
17-JAN-03,5.97,,,,,"","Q1",1939
07-FEB-03,5.88,,,,,"","Q1",1943
11-APR-03,5.85,,,,,"","Q2",1954
17-OCT-03,6.05,,,,,"","Q4",1986
04-MAR-04,5.59,,,,,"","Q1",2011
25-MAR-04,5.4,,,,,"","Q1",2014
15-JUL-04,6,,,,,"","Q3",2032
02-SEP-04,5.77,,,,,"","Q3",2041
03-MAR-05,5.79,,,,,"","Q1",2073
20-OCT-05,6.1,,,,,"","Q4",2112
21-DEC-06,6.13,,,,,"","Q4",2185
12-APR-07,6.22,,,,,"","Q2",2203
20-SEP-07,6.34,,,,,"","Q3",2231
03-JUL-08,6.35,,,,,"","Q3",2280
18-DEC-08,5.19,,,,,"","Q4",2309
16-APR-09,4.82,,,,,"","Q2",2330
11-JUN-09,5.59,,,,,"","Q2",2340
12-NOV-09,4.91,,,,,"","Q4",2366
18-MAR-10,4.96,,,,,"","Q1",2388
29-JUL-10,4.54,,,,,"","Q3",2409
16-SEP-10,4.37,,,,,"","Q3",2418
10-MAR-11,4.88,,,,,"","Q1",2449
30-JUN-11,4.51,,,,,"","Q2",2468
03-NOV-11,4,,,,,"","Q4",2490
05-JAN-12,3.91,,,,,"","Q1",2500
09-JUL-71,7.54,,,,,"","Q3",38
28-JAN-72,7.4,,,,,"","Q1",68
28-APR-72,7.33,,,,,"","Q2",82
22-SEP-72,7.41,,,,,"","Q3",104
02-MAR-73,7.45,,,,,"","Q1",129
30-MAR-73,7.49,,,,,"","Q1",133
05-OCT-73,8.82,,,,,"","Q4",163
28-DEC-73,8.56,,,,,"","Q4",175
29-MAR-74,8.41,,,,,"","Q1",189
02-AUG-74,9.47,,,,,"","Q3",209
22-AUG-75,8.98,,,,,"","Q3",268
21-NOV-75,9.12,,,,,"","Q4",282
27-AUG-76,9,,,,,"","Q3",325
05-NOV-76,8.85,,,,,"","Q4",335
17-DEC-76,8.8,,,,,"","Q4",341
29-APR-77,8.78,,,,,"","Q2",361
23-SEP-77,8.9,,,,,"","Q3",382
09-DEC-77,8.95,,,,,"","Q4",394
06-OCT-78,9.85,,,,,"","Q4",441
05-JAN-79,10.38,,,,,"","Q1",455
09-MAR-79,10.4,,,,,"","Q1",464
11-JAN-80,12.9,,,,,"","Q1",512
11-APR-80,16.35,,,,,"","Q2",526
30-MAY-80,13.2,,,,,"","Q2",533
03-OCT-80,13.6,,,,,"","Q4",553
17-APR-81,15.65,,,,,"","Q2",583
12-JUN-81,16.69,,,,,"","Q2",591
18-DEC-81,16.9,,,,,"","Q4",620
26-MAR-82,17.04,,,,,"","Q1",637
08-OCT-82,14.96,,,,,"","Q4",671
17-JUN-83,12.96,,,,,"","Q2",714
30-SEP-83,13.65,,,,,"","Q3",731
28-OCT-83,13.43,,,,,"","Q4",736
09-MAR-84,13.3,,,,,"","Q1",760
03-AUG-84,14.68,,,,,"","Q3",785
28-DEC-84,13.14,,,,,"","Q4",810
26-APR-85,13.12,,,,,"","Q2",829
10-JAN-86,10.77,,,,,"","Q1",874
08-AUG-86,10.4,,,,,"","Q3",910
07-NOV-86,9.83,,,,,"","Q4",926
13-FEB-87,9.09,,,,,"","Q1",943
27-MAR-87,9.03,,,,,"","Q1",950
31-JUL-87,10.27,,,,,"","Q3",971
28-JUN-12,3.66,,,,,"","Q2",2529
11-OCT-12,3.39,,,,,"","Q4",2548
02-MAY-13,3.35,,,,,"","Q2",2583
30-MAY-13,3.81,,,,,"","Q2",2587
29-AUG-13,4.51,,,,,"","Q3",2602
27-FEB-14,4.37,,,,,"","Q1",2634
08-JAN-15,3.73,,,,,"","Q1",2689
12-MAR-15,3.86,,,,,"","Q1",2700
07-MAY-15,3.8,,,,,"","Q2",2710
30-JUL-15,3.98,,,,,"","Q3",2724
21-JAN-16,3.81,,,,,"","Q1",2754
21-APR-16,3.59,,,,,"","Q2",2770
01-SEP-16,3.46,0.2160743,,,,"","Q3",2793
23-NOV-16,4.03,,,,,"","Q4",2807
09-FEB-17,4.17,,,,,"","Q1",2820
14-SEP-17,3.78,,,,,"","Q3",2857
04-JAN-18,3.95,,,,,"","Q1",2877
12-APR-18,4.42,,,,,"","Q2",2892
21-JUN-18,4.57,,,1.92,,"2.9","Q2",2910
14-FEB-19,4.37,,,2.4,,"2.66","Q1",3148
21-MAR-19,4.28,,,2.41,,"2.54","Q1",3183
25-APR-19,4.2,,,2.44,,"2.54","Q2",3218
13-JUN-19,3.82,,,2.37,,"2.1","Q2",3267
01-AUG-19,3.75,0.42005179,,2.14,,"1.9","Q3",3316
26-SEP-19,3.64,,,1.85,,"1.7","Q3",3372
05-DEC-19,3.68,,,1.55,,"1.8","Q4",3442
26-DEC-19,3.74,,,1.55,,"1.9","Q4",3463
30-JAN-20,3.51,,,1.6,,"1.57","Q1",3498
13-FEB-20,3.47,,,1.58,,"1.61","Q1",3512
23-APR-20,3.33,,,0.04,,"0.61","Q2",3582
27-AUG-20,2.91,,,0.08,,"0.74","Q3",3708
19-NOV-20,2.72,,,0.08,,"0.86","Q4",3792
28-JAN-21,2.73,,,0.07,,"1.07","Q1",3862
18-FEB-21,2.81,,,0.07,,"1.29","Q1",3883
25-FEB-21,2.97,,,0.07,,"1.54","Q1",3890
18-MAR-21,3.09,,,0.07,,"1.71","Q1",3911
15-APR-21,3.04,,,0.07,,"1.56","Q2",3939
15-JUL-21,2.88,,,0.1,,"1.31","Q3",4030
05-AUG-21,2.77,,,0.1,0.15,"1.23","Q3",4051
02-SEP-21,2.87,,,0.08,0.15,"1.29","Q3",4079
14-OCT-21,3.05,,,0.08,0.15,"1.52","Q4",4121
21-OCT-21,3.09,,,0.08,0.15,"1.68","Q4",4128
13-JAN-22,3.45,,,0.08,0.15,"1.7","Q1",4212
17-FEB-22,3.92,,,0.08,0.15,"1.97","Q1",4247
10-MAR-22,3.85,,,0.08,0.15,"1.98","Q1",4268
16-JUN-22,5.78,,,1.58,1.65,"3.28","Q2",4366
30-JUN-22,5.7,,,1.58,1.65,"2.98","Q2",4380
04-AUG-22,4.99,,,2.33,2.4,"2.68","Q3",4415
12-JAN-23,6.33,,,4.33,4.4,"3.43","Q1",4576
26-JAN-23,6.13,,,4.33,4.4,"3.49","Q1",4590
09-FEB-23,6.12,,,4.57,4.65,"3.67","Q1",4604
13-APR-23,6.27,,,4.83,4.9,"3.45","Q2",4667
20-APR-23,6.39,,,4.83,4.9,"3.54","Q2",4674
01-AUG-84,,6.87114867,,,,"","Q3",784
01-JUN-87,,4.33241266,,,,"","Q2",961
01-OCT-88,,4.46199391,2684392,,,"","Q4",1045
01-JAN-90,,4.1276234,3051958,,,"","Q1",1123
01-JUN-91,,4.18764426,,,,"","Q2",1211
01-MAR-92,,3.66026498,,,,"","Q1",1258
01-APR-95,,3.6549273,4951372,,,"","Q2",1452
