"RECORD_DATE","VALUE_REAL_GDP","VALUE_REAL_GDP_PER_CAPITA","VALUE_US_HH_DEBT","FISCAL_QUARTER","SURROGATE_KEY"
01-JUL-48,2134.056,14525,,"Q3",372
01-OCT-50,2384.92,15623,,"Q4",4
01-JUL-51,2509.88,16234,,"Q3",7
01-OCT-53,2664.302,16586,,"Q4",16
01-JAN-55,2815.134,17144,,"Q1",21
01-OCT-59,3205.79,17983,,"Q4",40
01-JAN-60,3277.847,18279,,"Q1",41
01-JAN-61,3255.914,17828,,"Q1",45
01-OCT-67,4618.812,23144,,"Q4",72
01-OCT-69,4947.104,24300,,"Q4",80
01-APR-71,5100.447,24597,,"Q2",86
01-APR-72,5368.485,25608,,"Q2",90
01-JAN-75,5551.713,25806,,"Q1",101
01-OCT-78,6734.069,30119,,"Q4",116
01-JAN-80,6842.024,30174,,"Q1",121
01-JAN-83,6896.561,29530,,"Q1",133
01-APR-85,7898.194,33161,,"Q2",142
01-OCT-88,9015.661,36654,,"Q4",156
01-JUL-89,9244.816,37323,,"Q3",159
01-JAN-90,9364.259,37617,,"Q1",161
01-JUL-91,9394.834,36993,,"Q3",167
01-APR-95,10581.723,39760,,"Q2",182
01-JAN-02,13394.91,46683,,"Q1",227
01-JUL-04,14457.832,49243,,"Q3",255
01-OCT-12,16300.035,51634,,"Q4",324
01-JAN-16,17565.465,54267,,"Q1",337
01-APR-18,18565.697,56512,,"Q2",346
01-OCT-21,20006.181,60117,,"Q4",360
06-JAN-04,,,94.47263962,"Q1",237
06-JAN-07,,,96.90138684,"Q1",267
07-JAN-04,,,97.72514638,"Q1",238
11-JAN-10,,,90.08835092,"Q1",302
15-JAN-07,,,79.83608174,"Q1",276
16-JAN-01,,,77.86454739,"Q1",217
16-JAN-07,,,79.57648796,"Q1",277
17-JAN-01,,,77.15399169,"Q1",218
01-JAN-47,2034.45,14213,,"Q1",366
01-APR-53,2720.566,17093,,"Q2",14
01-JUL-53,2705.258,16920,,"Q3",15
01-JAN-54,2651.566,16436,,"Q1",17
01-APR-54,2654.456,16387,,"Q2",18
01-OCT-54,2736.96,16737,,"Q4",20
01-OCT-61,3440.924,18610,,"Q4",48
01-APR-64,3895.793,20337,,"Q2",58
01-OCT-64,3968.878,20571,,"Q4",60
01-JAN-65,4064.915,21011,,"Q1",61
01-APR-68,4791.758,23905,,"Q2",74
01-JUL-69,4971.349,24491,,"Q3",79
01-JAN-73,5646.286,26735,,"Q1",93
01-JUL-76,5969.089,27339,,"Q3",107
01-APR-79,6753.389,30050,,"Q2",118
01-APR-80,6701.046,29470,,"Q2",122
01-APR-82,6830.251,29453,,"Q2",130
01-OCT-82,6806.857,29205,,"Q4",132
01-JAN-85,7829.26,32941,,"Q1",141
01-JUL-87,8539.075,35123,,"Q3",151
01-JAN-93,9857.185,38053,,"Q1",173
01-JUL-93,9961.873,38210,,"Q3",175
01-APR-96,11005.217,40873,,"Q2",186
01-JAN-01,13219.251,46519,,"Q1",205
01-OCT-01,13284.881,46400,,"Q4",226
01-JAN-05,14767.846,50068,,"Q1",257
01-JUL-05,14956.291,50470,,"Q3",259
01-APR-09,15161.772,49408,,"Q2",292
01-APR-10,15605.628,50424,,"Q2",314
01-APR-14,16868.109,52840,,"Q2",330
01-JUL-14,17064.616,53340,,"Q3",331
01-OCT-16,17812.56,54714,,"Q4",340
01-JUL-18,18699.748,56831,,"Q3",347
01-JAN-20,18989.877,57279,,"Q1",353
01-OCT-20,18924.262,56993,,"Q4",356
05-JAN-01,,,87.15763237,"Q1",206
05-JAN-07,,,92.39376649,"Q1",266
07-JAN-01,,,95.61775567,"Q1",208
10-JAN-07,,,94.02900198,"Q1",271
11-JAN-04,,,90.38152916,"Q1",242
11-JAN-07,,,90.07580582,"Q1",272
13-JAN-07,,,83.35407857,"Q1",274
18-JAN-01,,,75.85337803,"Q1",219
18-JAN-10,,,77.92463623,"Q1",309
19-JAN-04,,,75.63034851,"Q1",250
22-JAN-07,,,75.53949964,"Q1",283
01-JAN-52,2542.286,16299,,"Q1",9
01-JUL-52,2566.153,16317,,"Q3",11
01-APR-57,2987.699,17485,,"Q2",30
01-OCT-58,3065.141,17486,,"Q4",36
01-JUL-60,3276.133,18070,,"Q3",43
01-JUL-61,3374.742,18331,,"Q3",47
01-JAN-62,3502.298,18875,,"Q1",49
01-JUL-62,3577.362,19138,,"Q3",51
01-OCT-62,3589.128,19124,,"Q4",52
01-OCT-65,4304.731,22044,,"Q4",64
01-APR-66,4424.581,22543,,"Q2",66
01-JUL-66,4462.053,22664,,"Q3",67
01-OCT-66,4498.66,22780,,"Q4",68
01-APR-67,4541.28,22883,,"Q2",70
01-JAN-70,4939.759,24204,,"Q1",81
01-JUL-72,5419.184,25783,,"Q3",91
01-JUL-74,5642.025,26347,,"Q3",99
01-APR-75,5591.382,25928,,"Q2",102
01-JUL-75,5687.087,26294,,"Q3",103
01-APR-76,5936.515,27260,,"Q2",106
01-JUL-77,6313.559,28623,,"Q3",111
01-APR-78,6578.605,29596,,"Q2",114
01-JUL-79,6803.558,30182,,"Q3",119
01-OCT-80,6817.903,29813,,"Q4",124
01-OCT-81,6906.529,29911,,"Q4",128
01-OCT-83,7344.597,31233,,"Q4",136
01-OCT-84,7754.117,32686,,"Q4",140
01-APR-89,9176.827,37151,,"Q2",158
01-JUL-92,9739.185,37839,,"Q3",171
01-JAN-95,10550.251,39754,,"Q1",181
01-JAN-97,11291.665,41558,,"Q1",189
01-OCT-00,13262.25,46777,,"Q4",204
01-APR-03,13741.107,47342,,"Q2",232
01-APR-04,14323.017,48905,,"Q2",254
01-OCT-04,14605.595,49623,,"Q4",256
01-APR-05,14839.707,50204,,"Q2",258
01-OCT-06,15433.643,51455,,"Q4",264
01-JAN-08,15702.906,51740,,"Q1",287
01-OCT-08,15366.607,50281,,"Q4",290
01-JAN-11,15769.911,50646,,"Q1",317
01-OCT-13,16712.76,52544,,"Q4",328
01-APR-15,17380.875,54021,,"Q2",334
01-JAN-19,18835.411,57100,,"Q1",349
01-APR-21,19544.248,58842,,"Q2",358
01-APR-22,19895.271,59688,,"Q2",362
01-JUL-22,20054.663,60080,,"Q3",363
08-JAN-10,,,98.22612281,"Q1",299
17-JAN-04,,,77.95399785,"Q1",248
17-JAN-07,,,78.67996416,"Q1",278
21-JAN-01,,,74.29562633,"Q1",222
01-JUL-47,2024.834,14018,,"Q3",368
01-JAN-49,2107.001,14212,,"Q1",374
01-APR-49,2099.814,14107,,"Q2",375
01-JAN-50,2186.365,14500,,"Q1",1
01-APR-50,2253.045,14889,,"Q2",2
01-JAN-56,2905.656,17388,,"Q1",25
01-JAN-57,2994.259,17595,,"Q1",29
01-OCT-57,2985.775,17317,,"Q4",32
01-JAN-64,3853.835,20182,,"Q1",57
01-JUL-65,4207.782,21618,,"Q3",63
01-OCT-68,4847.885,24054,,"Q4",76
01-APR-69,4938.728,24399,,"Q2",78
01-APR-70,4946.77,24163,,"Q2",82
01-JUL-71,5142.422,24723,,"Q3",87
01-OCT-71,5154.547,24705,,"Q4",88
01-JAN-72,5249.337,25099,,"Q1",89
01-JUL-73,5677.738,26758,,"Q3",95
01-APR-74,5695.859,26666,,"Q2",98
01-OCT-79,6820.572,30164,,"Q4",120
01-JUL-80,6693.082,29347,,"Q3",123
01-JAN-81,6951.495,30335,,"Q1",125
01-APR-83,7053.5,30140,,"Q2",134
01-APR-88,8845.28,36145,,"Q2",154
01-JUL-90,9404.494,37529,,"Q3",163
01-JAN-91,9275.276,36769,,"Q1",165
