"RECORD_DATE","VALUE_M2_REAL_US","VALUE_M2_US","FISCAL_QUARTER","SURROGATE_KEY"
01-FEB-59,992.1,"2.88E+11","Q1",2
01-AUG-59,1015.8,"2.96E+11","Q3",8
01-OCT-59,1010.2,"2.97E+11","Q4",10
01-JAN-60,1015.3,"2.98E+11","Q1",13
01-JAN-61,1052.6,"3.14E+11","Q1",25
01-JUN-61,1086.8,"3.24E+11","Q2",30
01-FEB-62,1129.5,"3.40E+11","Q1",38
01-MAY-63,1232.7,"3.76E+11","Q2",53
01-NOV-64,1352.1,"4.22E+11","Q4",71
01-SEP-65,1421.6,"4.50E+11","Q3",81
01-DEC-66,1458.7,"4.80E+11","Q4",96
01-AUG-67,1524.8,"5.11E+11","Q3",104
01-OCT-67,1537.7,"5.18E+11","Q4",106
01-NOV-67,1537.5,"5.21E+11","Q4",107
01-MAR-68,1554.5,"5.33E+11","Q1",111
01-MAY-69,1583.8,"5.77E+11","Q2",125
01-OCT-69,1564.1,"5.83E+11","Q4",130
01-MAY-70,1532.4,"5.92E+11","Q2",137
01-DEC-70,1574.1,"6.27E+11","Q4",144
01-FEB-71,1606.5,"6.41E+11","Q1",146
01-APR-71,1641.9,"6.58E+11","Q2",148
01-FEB-72,1752.9,"7.26E+11","Q1",158
01-APR-72,1779.3,"7.38E+11","Q2",160
01-SEP-72,1848.7,"7.78E+11","Q3",165
01-MAY-73,1883.4,"8.27E+11","Q2",173
01-JAN-75,1732.9,"9.06E+11","Q1",193
01-DEC-75,1827.7,"1.02E+12","Q4",204
01-JUN-76,1900.5,"1.08E+12","Q2",210
01-SEP-78,2022.6,"1.35E+12","Q3",237
01-OCT-78,2015.4,"1.35E+12","Q4",238
01-DEC-78,2011.8,"1.37E+12","Q4",240
01-NOV-79,1928.8,"1.47E+12","Q4",251
01-JAN-80,1900.9,"1.48E+12","Q1",253
01-JAN-83,2001.4,"1.96E+12","Q1",289
01-AUG-84,2136.4,"2.23E+12","Q3",308
01-APR-85,2220,"2.38E+12","Q2",316
01-FEB-86,2290.7,"2.52E+12","Q1",326
01-JUN-87,2444.6,"2.78E+12","Q2",342
01-OCT-88,2473.1,"2.97E+12","Q4",358
01-JUL-89,2451.7,"3.06E+12","Q3",367
01-JAN-90,2483.8,"3.17E+12","Q1",373
01-JUN-91,2464.6,"3.36E+12","Q2",390
01-JUL-91,2464.1,"3.36E+12","Q3",391
01-MAR-92,2447.1,"3.41E+12","Q1",399
01-MAR-94,2365.8,"3.49E+12","Q1",423
01-APR-95,2305.1,"3.51E+12","Q2",436
01-FEB-96,2362.5,"3.67E+12","Q1",446
01-DEC-96,2400.1,"3.82E+12","Q4",456
01-MAY-97,2432.3,"3.89E+12","Q2",461
01-JUN-01,2911.4,"5.17E+12","Q2",510
01-DEC-01,3063,"5.43E+12","Q4",516
