"RECORD_DATE","MSPUS","FISCAL_QUARTER","SURROGATE_KEY"
01-JAN-63," $17,800.00 ","Q1",1
01-APR-63," $18,000.00 ","Q2",2
01-JUL-63," $17,900.00 ","Q3",3
01-OCT-63," $18,500.00 ","Q4",4
01-JAN-64," $18,500.00 ","Q1",5
01-APR-64," $18,900.00 ","Q2",6
01-JUL-64," $18,900.00 ","Q3",7
01-OCT-64," $19,400.00 ","Q4",8
01-JAN-65," $20,200.00 ","Q1",9
01-APR-65," $19,800.00 ","Q2",10
01-JUL-65," $20,200.00 ","Q3",11
01-OCT-65," $20,300.00 ","Q4",12
01-JAN-66," $21,000.00 ","Q1",13
01-APR-66," $22,100.00 ","Q2",14
01-JUL-66," $21,500.00 ","Q3",15
01-OCT-66," $21,400.00 ","Q4",16
01-JAN-67," $22,300.00 ","Q1",17
01-APR-67," $23,300.00 ","Q2",18
01-JUL-67," $22,500.00 ","Q3",19
01-OCT-67," $22,900.00 ","Q4",20
01-JAN-68," $23,900.00 ","Q1",21
01-APR-68," $24,900.00 ","Q2",22
01-JUL-68," $24,800.00 ","Q3",23
01-OCT-68," $25,600.00 ","Q4",24
01-JAN-69," $25,700.00 ","Q1",25
01-APR-69," $25,900.00 ","Q2",26
01-JUL-69," $25,900.00 ","Q3",27
01-OCT-69," $24,900.00 ","Q4",28
01-JAN-70," $23,900.00 ","Q1",29
01-APR-70," $24,400.00 ","Q2",30
01-JUL-70," $23,000.00 ","Q3",31
01-OCT-70," $22,600.00 ","Q4",32
01-JAN-71," $24,300.00 ","Q1",33
01-APR-71," $25,800.00 ","Q2",34
01-JUL-71," $25,300.00 ","Q3",35
01-OCT-71," $25,500.00 ","Q4",36
01-JAN-72," $26,200.00 ","Q1",37
01-APR-72," $26,800.00 ","Q2",38
01-JUL-72," $27,900.00 ","Q3",39
01-OCT-72," $29,200.00 ","Q4",40
01-JAN-73," $30,200.00 ","Q1",41
01-APR-73," $32,700.00 ","Q2",42
01-JUL-73," $33,500.00 ","Q3",43
01-OCT-73," $34,000.00 ","Q4",44
01-JAN-74," $35,200.00 ","Q1",45
01-APR-74," $35,600.00 ","Q2",46
01-JUL-74," $36,200.00 ","Q3",47
01-OCT-74," $37,200.00 ","Q4",48
01-JAN-75," $38,100.00 ","Q1",49
01-APR-75," $39,000.00 ","Q2",50
01-JUL-75," $38,800.00 ","Q3",51
01-OCT-75," $41,200.00 ","Q4",52
01-JAN-76," $42,800.00 ","Q1",53
01-APR-76," $44,200.00 ","Q2",54
01-JUL-76," $44,400.00 ","Q3",55
01-OCT-76," $45,500.00 ","Q4",56
01-JAN-77," $46,300.00 ","Q1",57
01-APR-77," $48,900.00 ","Q2",58
01-JUL-77," $48,800.00 ","Q3",59
01-OCT-77," $51,600.00 ","Q4",60
01-JAN-78," $53,000.00 ","Q1",61
01-APR-78," $55,300.00 ","Q2",62
01-JUL-78," $56,100.00 ","Q3",63
01-OCT-78," $59,000.00 ","Q4",64
01-JAN-79," $60,600.00 ","Q1",65
01-APR-79," $63,100.00 ","Q2",66
01-JUL-79," $64,700.00 ","Q3",67
01-OCT-79," $62,600.00 ","Q4",68
01-JAN-80," $63,700.00 ","Q1",69
01-APR-80," $64,000.00 ","Q2",70
01-JUL-80," $64,900.00 ","Q3",71
01-OCT-80," $66,400.00 ","Q4",72
01-JAN-81," $66,800.00 ","Q1",73
01-APR-81," $69,400.00 ","Q2",74
01-JUL-81," $69,200.00 ","Q3",75
01-OCT-81," $70,400.00 ","Q4",76
01-JAN-82," $66,400.00 ","Q1",77
01-APR-82," $69,600.00 ","Q2",78
01-JUL-82," $69,300.00 ","Q3",79
01-OCT-82," $71,600.00 ","Q4",80
01-JAN-83," $73,300.00 ","Q1",81
01-APR-83," $74,900.00 ","Q2",82
01-JUL-83," $77,400.00 ","Q3",83
01-OCT-83," $75,900.00 ","Q4",84
01-JAN-84," $78,200.00 ","Q1",85
01-APR-84," $80,700.00 ","Q2",86
01-JUL-84," $81,000.00 ","Q3",87
01-OCT-84," $79,900.00 ","Q4",88
01-JAN-85," $82,800.00 ","Q1",89
01-APR-85," $84,300.00 ","Q2",90
01-JUL-85," $83,200.00 ","Q3",91
01-OCT-85," $86,800.00 ","Q4",92
01-JAN-86," $88,000.00 ","Q1",93
01-APR-86," $92,100.00 ","Q2",94
01-JUL-86," $93,000.00 ","Q3",95
01-OCT-86," $95,000.00 ","Q4",96
01-JAN-87," $97,900.00 ","Q1",97
01-APR-87," $103,400.00 ","Q2",98
01-JUL-87," $106,000.00 ","Q3",99
01-OCT-87," $111,500.00 ","Q4",100
01-JAN-88," $110,000.00 ","Q1",101
01-APR-88," $110,000.00 ","Q2",102
01-JUL-88," $115,000.00 ","Q3",103
01-OCT-88," $113,900.00 ","Q4",104
01-JAN-89," $118,000.00 ","Q1",105
01-APR-89," $118,900.00 ","Q2",106
01-JUL-89," $120,000.00 ","Q3",107
01-OCT-89," $124,800.00 ","Q4",108
01-JAN-90," $123,900.00 ","Q1",109
01-APR-90," $126,800.00 ","Q2",110
01-JUL-90," $117,000.00 ","Q3",111
01-OCT-90," $121,500.00 ","Q4",112
01-JAN-91," $120,000.00 ","Q1",113
01-APR-91," $119,900.00 ","Q2",114
01-JUL-91," $120,000.00 ","Q3",115
01-OCT-91," $120,000.00 ","Q4",116
01-JAN-92," $119,500.00 ","Q1",117
01-APR-92," $120,000.00 ","Q2",118
01-JUL-92," $120,000.00 ","Q3",119
01-OCT-92," $126,000.00 ","Q4",120
01-JAN-93," $125,000.00 ","Q1",121
01-APR-93," $127,000.00 ","Q2",122
01-JUL-93," $127,000.00 ","Q3",123
01-OCT-93," $127,000.00 ","Q4",124
01-JAN-94," $130,000.00 ","Q1",125
01-APR-94," $130,000.00 ","Q2",126
01-JUL-94," $129,700.00 ","Q3",127
01-OCT-94," $132,000.00 ","Q4",128
01-JAN-95," $130,000.00 ","Q1",129
01-APR-95," $133,900.00 ","Q2",130
01-JUL-95," $132,000.00 ","Q3",131
01-OCT-95," $138,000.00 ","Q4",132
01-JAN-96," $137,000.00 ","Q1",133
01-APR-96," $139,900.00 ","Q2",134
01-JUL-96," $140,000.00 ","Q3",135
01-OCT-96," $144,100.00 ","Q4",136
01-JAN-97," $145,000.00 ","Q1",137
01-APR-97," $145,800.00 ","Q2",138
01-JUL-97," $145,000.00 ","Q3",139
01-OCT-97," $144,200.00 ","Q4",140
01-JAN-98," $152,200.00 ","Q1",141
01-APR-98," $149,500.00 ","Q2",142
01-JUL-98," $153,000.00 ","Q3",143
01-OCT-98," $153,000.00 ","Q4",144
01-JAN-99," $157,400.00 ","Q1",145
01-APR-99," $158,700.00 ","Q2",146
01-JUL-99," $159,100.00 ","Q3",147
01-OCT-99," $165,300.00 ","Q4",148
01-JAN-00," $165,300.00 ","Q1",149
01-APR-00," $163,200.00 ","Q2",150
01-JUL-00," $168,800.00 ","Q3",151
01-OCT-00," $172,900.00 ","Q4",152
01-JAN-01," $169,800.00 ","Q1",153
01-APR-01," $179,000.00 ","Q2",154
01-JUL-01," $172,500.00 ","Q3",155
01-OCT-01," $171,100.00 ","Q4",156
01-JAN-02," $188,700.00 ","Q1",157
01-APR-02," $187,200.00 ","Q2",158
01-JUL-02," $178,100.00 ","Q3",159
01-OCT-02," $190,100.00 ","Q4",160
01-JAN-03," $186,000.00 ","Q1",161
01-APR-03," $191,800.00 ","Q2",162
01-JUL-03," $191,900.00 ","Q3",163
01-OCT-03," $198,800.00 ","Q4",164
01-JAN-04," $212,700.00 ","Q1",165
01-APR-04," $217,600.00 ","Q2",166
01-JUL-04," $213,500.00 ","Q3",167
01-OCT-04," $228,800.00 ","Q4",168
01-JAN-05," $232,500.00 ","Q1",169
01-APR-05," $233,700.00 ","Q2",170
01-JUL-05," $236,400.00 ","Q3",171
01-OCT-05," $243,600.00 ","Q4",172
01-JAN-06," $247,700.00 ","Q1",173
01-APR-06," $246,300.00 ","Q2",174
01-JUL-06," $235,600.00 ","Q3",175
01-OCT-06," $245,400.00 ","Q4",176
01-JAN-07," $257,400.00 ","Q1",177
01-APR-07," $242,200.00 ","Q2",178
01-JUL-07," $241,800.00 ","Q3",179
01-OCT-07," $238,400.00 ","Q4",180
01-JAN-08," $233,900.00 ","Q1",181
01-APR-08," $235,300.00 ","Q2",182
01-JUL-08," $226,500.00 ","Q3",183
01-OCT-08," $222,500.00 ","Q4",184
01-JAN-09," $208,400.00 ","Q1",185
01-APR-09," $220,900.00 ","Q2",186
01-JUL-09," $214,300.00 ","Q3",187
01-OCT-09," $219,000.00 ","Q4",188
01-JAN-10," $222,900.00 ","Q1",189
01-APR-10," $219,500.00 ","Q2",190
01-JUL-10," $224,100.00 ","Q3",191
01-OCT-10," $224,300.00 ","Q4",192
01-JAN-11," $226,900.00 ","Q1",193
01-APR-11," $228,100.00 ","Q2",194
01-JUL-11," $223,500.00 ","Q3",195
01-OCT-11," $221,100.00 ","Q4",196
01-JAN-12," $238,400.00 ","Q1",197
01-APR-12," $238,700.00 ","Q2",198
01-JUL-12," $248,800.00 ","Q3",199
01-OCT-12," $251,700.00 ","Q4",200
01-JAN-13," $258,400.00 ","Q1",201
01-APR-13," $268,100.00 ","Q2",202
01-JUL-13," $264,800.00 ","Q3",203
01-OCT-13," $273,600.00 ","Q4",204
01-JAN-14," $275,200.00 ","Q1",205
01-APR-14," $288,000.00 ","Q2",206
01-JUL-14," $281,000.00 ","Q3",207
01-OCT-14," $298,900.00 ","Q4",208
01-JAN-15," $289,200.00 ","Q1",209
