"RECORD_DATE","PCEC","FISCAL_QUARTER","SURROGATE_KEY"
01-JAN-47,156.161,"Q1",1
01-APR-47,160.031,"Q2",2
01-JUL-47,163.543,"Q3",3
01-OCT-47,167.672,"Q4",4
01-JAN-48,170.372,"Q1",5
01-APR-48,174.142,"Q2",6
01-JUL-48,177.072,"Q3",7
01-OCT-48,177.928,"Q4",8
01-JAN-49,176.831,"Q1",9
01-APR-49,178.446,"Q2",10
01-JUL-49,177.806,"Q3",11
01-OCT-49,180.249,"Q4",12
01-JAN-50,182.92,"Q1",13
01-APR-50,186.806,"Q2",14
01-JUL-50,200.505,"Q3",15
01-OCT-50,197.946,"Q4",16
01-JAN-51,209.207,"Q1",17
01-APR-51,204.942,"Q2",18
01-JUL-51,207.616,"Q3",19
01-OCT-51,211.59,"Q4",20
01-JAN-52,212.969,"Q1",21
01-APR-52,217.088,"Q2",22
01-JUL-52,219.553,"Q3",23
01-OCT-52,227.67,"Q4",24
01-JAN-53,231.22,"Q1",25
01-APR-53,232.96,"Q2",26
01-JUL-53,233.666,"Q3",27
01-OCT-53,233.112,"Q4",28
01-JAN-54,235.154,"Q1",29
01-APR-54,237.885,"Q2",30
01-JUL-54,240.303,"Q3",31
01-OCT-54,245.093,"Q4",32
01-JAN-55,251.398,"Q1",33
01-APR-55,256.466,"Q2",34
01-JUL-55,260.651,"Q3",35
01-OCT-55,264.639,"Q4",36
01-JAN-56,266.156,"Q1",37
01-APR-56,268.834,"Q2",38
01-JUL-56,272.075,"Q3",39
01-OCT-56,277.445,"Q4",40
01-JAN-57,281.889,"Q1",41
01-APR-57,284.176,"Q2",42
01-JUL-57,288.75,"Q3",43
01-OCT-57,290.368,"Q4",44
01-JAN-58,289.888,"Q1",45
01-APR-58,292.819,"Q2",46
01-JUL-58,297.893,"Q3",47
01-OCT-58,301.823,"Q4",48
01-JAN-59,309.449,"Q1",49
01-APR-59,315.505,"Q2",50
01-JUL-59,320.725,"Q3",51
01-OCT-59,322.842,"Q4",52
01-JAN-60,326.364,"Q1",53
01-APR-60,332.208,"Q2",54
01-JUL-60,332.126,"Q3",55
01-OCT-60,334.024,"Q4",56
01-JAN-61,334.52,"Q1",57
01-APR-61,339.455,"Q2",58
01-JUL-61,342.332,"Q3",59
01-OCT-61,349.593,"Q4",60
01-JAN-62,354.822,"Q1",61
01-APR-62,360.458,"Q2",62
01-JUL-62,364.333,"Q3",63
01-OCT-62,370.618,"Q4",64
01-JAN-63,374.283,"Q1",65
01-APR-63,378.413,"Q2",66
01-JUL-63,385.394,"Q3",67
01-OCT-63,390.049,"Q4",68
01-JAN-64,399.581,"Q1",69
01-APR-64,407.536,"Q2",70
01-JUL-64,416.422,"Q3",71
01-OCT-64,418.987,"Q4",72
01-JAN-65,429.711,"Q1",73
01-APR-65,436.642,"Q2",74
01-JUL-65,445.804,"Q3",75
01-OCT-65,459.736,"Q4",76
01-JAN-66,470.136,"Q1",77
01-APR-66,475.189,"Q2",78
01-JUL-66,484.291,"Q3",79
01-OCT-66,490.06,"Q4",80
01-JAN-67,494.317,"Q1",81
01-APR-67,503.458,"Q2",82
01-JUL-67,510.717,"Q3",83
01-OCT-67,518.249,"Q4",84
01-JAN-68,536.297,"Q1",85
01-APR-68,550.014,"Q2",86
01-JUL-68,566.122,"Q3",87
01-OCT-68,574.977,"Q4",88
01-JAN-69,587.005,"Q1",89
