"RECORD_DATE","VALUE_UNEMP_RATE","VALUE_UNEMP_LEVEL","VALUE_UNEMP_NONCYC","VALUE_UNEMP_CLAIMS","FISCAL_QUARTER","SURROGATE_KEY"
01-FEB-48,3.8,2328,,,"Q1",1
01-MAY-48,3.5,2118,,,"Q2",2
01-JUL-48,3.6,2213,,,"Q3",3
01-FEB-49,4.7,2849,,,"Q1",4
01-OCT-50,4.2,2625,5.301367,,"Q4",5
01-JUL-51,3.1,1950,5.321333408,,"Q3",6
01-MAR-52,2.9,1813,,,"Q1",7
01-JUN-52,3,1884,,,"Q2",8
01-AUG-52,3.4,2087,,,"Q3",9
01-OCT-53,3.1,1974,5.366582394,,"Q4",10
01-NOV-53,3.5,2211,,,"Q4",11
01-JAN-55,4.9,3157,5.38122,,"Q1",12
01-FEB-55,4.7,2969,,,"Q1",13
01-FEB-57,3.9,2622,,,"Q1",14
01-FEB-59,5.9,3965,,,"Q1",15
01-AUG-59,5.2,3588,,,"Q3",16
01-OCT-59,5.7,3910,5.450064,,"Q4",17
01-JAN-60,5.2,3615,5.45645237,,"Q1",18
01-JAN-61,6.6,4671,5.483875,,"Q1",19
01-JUN-61,6.9,4885,,,"Q2",20
01-FEB-62,5.5,3871,,,"Q1",21
01-MAY-63,5.9,4217,,,"Q2",22
01-NOV-64,4.8,3551,,,"Q4",23
01-SEP-65,4.3,3216,,,"Q3",24
01-DEC-66,3.8,2912,,,"Q4",25
01-AUG-67,3.8,2945,,,"Q3",26
01-OCT-67,4,3143,5.780984,,"Q4",27
01-NOV-67,3.9,3066,,,"Q4",28
01-MAR-68,3.7,2877,,,"Q1",29
01-MAY-69,3.4,2713,,,"Q2",30
01-OCT-69,3.7,3049,5.876888,,"Q4",31
01-MAY-70,4.8,3919,,,"Q2",32
01-DEC-70,6.1,5076,,,"Q4",33
01-FEB-71,5.9,4903,,,"Q1",34
01-APR-71,5.9,4959,5.963016,,"Q2",35
01-FEB-72,5.7,4928,,,"Q1",36
01-APR-72,5.7,4959,6.025690556,1900750,"Q2",37
01-SEP-72,5.5,4849,,,"Q3",38
01-MAY-73,4.9,4329,,,"Q2",39
01-JAN-75,8.1,7501,6.170844,,"Q1",40
01-DEC-75,8.2,7744,,,"Q4",41
01-JUN-76,7.6,7322,,,"Q2",42
01-SEP-78,6,6125,,,"Q3",43
01-OCT-78,5.8,5947,6.23823452,,"Q4",44
01-DEC-78,6,6228,,,"Q4",45
01-NOV-79,5.9,6238,,,"Q4",46
01-JAN-80,6.3,6683,6.21737051,,"Q1",47
01-JAN-83,10.4,11534,6.112889,4275250,"Q1",48
01-AUG-84,7.5,8519,,,"Q3",49
01-APR-85,7.3,8395,6.029139519,,"Q2",50
01-FEB-86,7.2,8402,,2563250,"Q1",51
01-JUN-87,6.2,7398,,,"Q2",52
01-OCT-88,5.4,6568,5.830452442,2063250,"Q4",53
01-JUL-89,5.2,6495,5.772135,2126750,"Q3",54
01-JAN-90,5.4,6752,5.732765,,"Q1",55
01-JUN-91,6.9,8692,,3486250,"Q2",56
01-JUL-91,6.8,8586,5.619961,,"Q3",57
01-MAR-92,7.4,9460,,,"Q1",58
01-MAR-94,6.5,8470,,,"Q1",59
01-APR-95,5.8,7645,5.409451485,2522750,"Q2",60
01-FEB-96,5.5,7313,,,"Q1",61
01-DEC-96,5.4,7253,,,"Q4",62
01-MAY-97,4.9,6655,,,"Q2",63
01-JUN-01,4.5,6484,,,"Q2",64
01-DEC-01,5.7,8258,,3657250,"Q4",65
01-JAN-02,5.7,8182,5.140615463,,"Q1",66
01-FEB-02,5.7,8215,,,"Q1",67
01-MAY-02,5.8,8399,,,"Q2",68
01-FEB-04,5.6,8167,,,"Q1",69
01-JUL-04,5.5,8136,5.038008,,"Q3",70
